Municipality,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Unreserved_Fund_Bal,Fund_Equity_Enterprise,Fund_Equity_Internal_Service,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,Moody's_Bond_Ratings_July_2001,area lmt,ACGLFY01,EGL,TANF01 Recipients,Empl,ACMR,Enrollmt,2001 Population
"ANDOVER",2.0010000000000000e+03,1.0000000000000000e+00,1.0000000000000000e+00,"T",1892625.0000,4183094.0000,6289491.0000,4521586.0000,99600.0000,6162662.0000,57688.0000,57688.0000,223942.0000,223942.0000,-39425.0000,146239.0000,-39425.0000,2731796.7786,557838.0000,3289634.7786,19832.0000,0.0000,1492125.0000,1472293.0000,,,4061453.0000,3971804.0000,9.7792686508990745e-01,4312255.0000,4121186.0000,9.5569162769826921e-01,"A3",1.5450000000000001e+01,140215702.0000,231093337.0000,6.0000000000000000e+00,2.0000000000000000e-02,2.8600000000000001e+01,5.6650000000000000e+02,3179
"ANSONIA",2.0010000000000000e+03,2.0000000000000000e+00,2.0000000000000000e+00,"NH",17649431.0000,18325411.0000,39652739.0000,18861309.0000,5657368.0000,41536820.0000,0.0000,0.0000,2721541.0000,2721541.0000,-4605622.0000,484471.0000,-4605622.0000,,51600603.0000,51600603.0000,1310248.0000,1456000.0000,5607719.0000,4297471.0000,,,18803045.0000,18099117.0000,9.6256308486205289e-01,20660983.0000,18695003.0000,9.0484576653492232e-01,"A3",6.0300000000000002e+00,606982962.0000,933397723.0000,4.9100000000000000e+02,5.3133985048878667e-02,3.1400000000000002e+01,2.6388899999999999e+03,18950
"ASHFORD",2.0010000000000000e+03,3.0000000000000000e+00,3.0000000000000000e+00,"W",3581186.0000,5157641.0000,9284143.0000,6945466.0000,372079.0000,9303072.0000,0.0000,0.0000,706943.0000,706943.0000,-725872.0000,147151.0000,-725872.0000,5455549.4352,3190654.0000,8646203.4352,154179.0000,0.0000,686655.0000,532476.0000,,,5137130.0000,5031315.0000,9.7940192286354444e-01,5334154.0000,5115073.0000,9.5892863235669612e-01,"A2",3.8800000000000004e+01,163684080.0000,249336342.0000,2.9000000000000000e+01,2.1559633027522937e-02,3.1000000000000000e+01,7.7400000000000000e+02,4332
"AVON",2.0010000000000000e+03,4.0000000000000000e+00,4.0000000000000000e+00,"H",3248579.0000,37475823.0000,43390949.0000,26189632.0000,4233507.0000,42771086.0000,862332.0000,862332.0000,1542093.0000,1542093.0000,-59898.0000,-112719.0000,-59898.0000,,22435910.0000,22435910.0000,508753.0000,750000.0000,4359060.0000,3850307.0000,,460485.0000,37418666.0000,37233948.0000,9.9506347981512755e-01,37667601.0000,37366395.0000,9.9200357888467594e-01,"Aaa",2.3120000000000001e+01,1515496380.0000,2176025300.0000,5.0000000000000000e+00,1.6532204734823436e-02,2.4500000000000000e+01,2.8992800000000002e+03,16323
"BARKHAMSTED",2.0010000000000000e+03,5.0000000000000000e+00,5.0000000000000000e+00,"L",1716170.0000,6022793.0000,7919554.0000,5818585.0000,328020.0000,7442739.0000,0.0000,0.0000,324237.0000,324237.0000,152578.0000,20754.0000,152578.0000,3480710.0114,1703829.0000,5184539.0114,6109.0000,130000.0000,1255306.0000,1249197.0000,,,5786513.0000,5701916.0000,9.8538031453485031e-01,6161441.0000,5869284.0000,9.5258300777366856e-01,"A2",3.6210000000000001e+01,203322360.0000,295263486.0000,8.0000000000000000e+00,2.3900573613766730e-02,2.8000000000000000e+01,6.0450000000000000e+02,3585
"BEACON FALLS",2.0010000000000000e+03,6.0000000000000000e+00,6.0000000000000000e+00,"NH",3603652.0000,5894664.0000,9863357.0000,7263639.0000,297506.0000,10772092.0000,2100.0000,150591.0000,0.0000,0.0000,-906635.0000,35070.0000,-758144.0000,18342258.5770,2927192.0000,21269450.5770,0.0000,817467.0000,1761714.0000,1761714.0000,,,5623185.0000,5382223.0000,9.5714848435539646e-01,6442550.0000,5585816.0000,8.6701942553802458e-01,"A3",9.7699999999999996e+00,225823780.0000,401174493.0000,1.9000000000000000e+01,3.4398888116747739e-02,2.4500000000000000e+01,9.2137000000000000e+02,5578
"BERLIN",2.0010000000000000e+03,7.0000000000000000e+00,7.0000000000000000e+00,"H",7575466.0000,36454011.0000,48545043.0000,27184121.0000,2690123.0000,46274103.0000,132254.0000,132254.0000,2124566.0000,2124566.0000,278628.0000,-1035805.0000,278628.0000,,11945000.0000,11945000.0000,0.0000,683601.0000,5032044.0000,5032044.0000,14934030.0000,3207026.0000,36145455.0000,35585705.0000,9.8451395894725902e-01,38008337.0000,36171258.0000,9.5844701124387521e-01,"Aa3",2.6440000000000001e+01,1184525240.0000,1943666100.0000,3.3000000000000000e+01,2.6698763540868805e-02,3.0300000000000001e+01,3.3450200000000000e+03,18281
"BETHANY",2.0010000000000000e+03,8.0000000000000000e+00,8.0000000000000000e+00,"NH",2366149.0000,9768044.0000,12839767.0000,9122465.0000,740891.0000,12518075.0000,0.0000,0.0000,260100.0000,260100.0000,61592.0000,-641250.0000,61592.0000,4561900.0000,6373872.0000,10935772.0000,0.0000,3482.0000,979031.0000,979031.0000,,,9733273.0000,9576852.0000,9.8392924969843132e-01,9978735.0000,9697265.0000,9.7179301785246330e-01,"A1",2.0960000000000001e+01,332591153.0000,478677276.0000,1.0000000000000000e+01,2.2564874012786763e-02,2.9230000000000000e+01,1.0364700000000000e+03,5066
"BETHEL",2.0010000000000000e+03,9.0000000000000000e+00,9.0000000000000000e+00,"F",10154941.0000,31103200.0000,42757427.0000,27252414.0000,2860301.0000,42075694.0000,58105.0000,58105.0000,426752.0000,426752.0000,313086.0000,329985.0000,313086.0000,,15770000.0000,15770000.0000,483045.0000,0.0000,3595133.0000,3112088.0000,9040157.0000,597791.0000,30978843.0000,30402345.0000,9.8139058970020276e-01,31793119.0000,30830715.0000,9.6972917315850637e-01,"A1",1.6789999999999999e+01,1100625557.0000,1824293720.0000,3.3000000000000000e+01,2.4027692934229281e-02,2.8060000000000002e+01,3.2163800000000001e+03,18052
"BETHLEHEM",2.0010000000000000e+03,1.0000000000000000e+01,1.0000000000000000e+01,"L",1386052.0000,5265672.0000,7015253.0000,5269808.0000,0.0000,6978091.0000,0.0000,0.0000,183000.0000,183000.0000,-145838.0000,122719.0000,-145838.0000,4464472.8640,0.0000,4464472.8640,0.0000,525400.0000,798865.0000,798865.0000,,,5262319.0000,5097908.0000,9.6875693016709929e-01,5519025.0000,5199969.0000,9.4218978895728867e-01,,1.9359999999999999e+01,219075698.0000,313958240.0000,6.0000000000000000e+00,2.4755028365136669e-02,2.3789999999999999e+01,6.1405000000000007e+02,3476
"BLOOMFIELD",2.0010000000000000e+03,1.1000000000000000e+01,1.1000000000000000e+01,"H",6448881.0000,39276650.0000,48691635.0000,26985157.0000,1471948.0000,46678181.0000,7766.0000,7766.0000,1759026.0000,1759026.0000,262194.0000,46642.0000,262194.0000,,3659703.0000,3659703.0000,2425986.0000,0.0000,5754440.0000,3328454.0000,,1973146.0000,39102837.0000,38486664.0000,9.8424224308839792e-01,40414467.0000,38944286.0000,9.6362240778778552e-01,"Aa2",2.6010000000000002e+01,1458494204.0000,1801437709.0000,2.8100000000000000e+02,3.4407319013524264e-02,2.6690000000000001e+01,2.7200999999999999e+03,19134
"BOLTON",2.0010000000000000e+03,1.2000000000000000e+01,1.2000000000000000e+01,"T",3500155.0000,8264175.0000,12314127.0000,8425637.0000,1140521.0000,12116231.0000,48571.0000,48571.0000,415586.0000,415586.0000,-169119.0000,305854.0000,-169119.0000,,6995000.0000,6995000.0000,257567.0000,0.0000,773546.0000,515979.0000,29362.0000,,8073347.0000,7980916.0000,9.8855109287387255e-01,8355151.0000,8141776.0000,9.7446186191009598e-01,"A1",1.4410000000000000e+01,257257050.0000,370270943.0000,1.5000000000000000e+01,1.9286754002911209e-02,3.1350000000000001e+01,9.5301999999999998e+02,5140
"BOZRAH",2.0010000000000000e+03,1.3000000000000000e+01,1.3000000000000000e+01,"NL",2529851.0000,2834491.0000,5607328.0000,3419637.0000,632845.0000,5263395.0000,0.0000,0.0000,0.0000,0.0000,343933.0000,130665.0000,343933.0000,,3745000.0000,3745000.0000,299546.0000,0.0000,600377.0000,300831.0000,,,2806399.0000,2732642.0000,9.7371827740816608e-01,2980667.0000,2777716.0000,9.3191087766597203e-01,,1.9960000000000001e+01,126784178.0000,234425872.0000,1.7000000000000000e+01,3.1167108753315648e-02,2.3000000000000000e+01,3.7600999999999999e+02,2401
"BRANFORD",2.0010000000000000e+03,1.4000000000000000e+01,1.4000000000000000e+01,"NH",6007277.0000,52770259.0000,63720784.0000,33431229.0000,5608992.0000,60493389.0000,42029.0000,12397422.0000,1418697.0000,13774090.0000,1850727.0000,1160221.0000,1850727.0000,,47749149.0000,47749149.0000,495336.0000,1500000.0000,8941128.0000,8445792.0000,,-91626.0000,52999927.0000,51154036.0000,9.6517181995363877e-01,55840039.0000,51986848.0000,9.3099591137463211e-01,"Aa3",2.1990000000000002e+01,2007936691.0000,2981183791.0000,1.4100000000000000e+02,2.7661409561360276e-02,2.6190000000000001e+01,3.8855700000000002e+03,28444
"BRIDGEPORT",2.0010000000000000e+03,1.5000000000000000e+01,1.5000000000000000e+01,"F",188865814.0000,157275059.0000,367828580.0000,148952909.0000,48879547.0000,713497213.0000,9796232.0000,359796232.0000,14037199.0000,14037199.0000,-349909600.0000,15110.0000,90400.0000,,609917339.0000,609917339.0000,2657983.0000,22500000.0000,51087319.0000,48429336.0000,63433415.0000,,159152733.0000,145819379.0000,9.1622290268807383e-01,207824146.0000,153003558.0000,7.3621646447184241e-01,"Baa1",1.6000000000000000e+01,2595107455.0000,5645059646.0000,6.5180000000000000e+03,6.0257388143267497e-02,6.5000000000000000e+01,2.3472020000000000e+04,138216
"BRIDGEWATER",2.0010000000000000e+03,1.6000000000000000e+01,1.6000000000000000e+01,"L",145838.0000,4549911.0000,5100659.0000,3333326.0000,84118.0000,4634120.0000,0.0000,0.0000,145620.0000,145620.0000,320919.0000,109639.0000,320919.0000,1396443.3380,66009.0000,1462452.3380,0.0000,50000.0000,1240481.0000,1240481.0000,,,4407962.0000,4368913.0000,9.9114125756982474e-01,4522533.0000,4393132.0000,9.7138749457439011e-01,,1.6230000000000000e+01,190925852.0000,334760517.0000,0.0000000000000000e+00,1.9587628865979381e-02,2.3000000000000000e+01,2.8534000000000003e+02,1849
"BRISTOL",2.0010000000000000e+03,1.7000000000000000e+01,1.7000000000000000e+01,"H",44480000.0000,69741000.0000,120537000.0000,65534000.0000,6189000.0000,105229000.0000,10000.0000,10000.0000,14878000.0000,14878000.0000,440000.0000,745000.0000,440000.0000,,39230000.0000,39230000.0000,2129000.0000,4132000.0000,21594000.0000,19465000.0000,22629000.0000,503000.0000,68851000.0000,66953000.0000,9.7243322537072807e-01,74701000.0000,68570000.0000,9.1792613218029206e-01,"Aa3",2.6500000000000000e+01,2303655030.0000,3718571411.0000,1.1100000000000000e+03,3.8578711763242977e-02,2.9550000000000001e+01,8.9264400000000005e+03,60026
"BROOKFIELD",2.0010000000000000e+03,1.8000000000000000e+01,1.8000000000000000e+01,"F",3963310.0000,30837444.0000,36691109.0000,24283134.0000,2792764.0000,35854807.0000,0.0000,0.0000,1009383.0000,1009383.0000,-173081.0000,533520.0000,-173081.0000,,18407066.0000,18407066.0000,0.0000,900000.0000,4246072.0000,4246072.0000,,17444.0000,30565950.0000,30040049.0000,9.8279454752755924e-01,31791519.0000,30650045.0000,9.6409501540332188e-01,"Aa2",1.9800000000000001e+01,1129173748.0000,2088372194.0000,2.1000000000000000e+01,2.1379393646575675e-02,2.6900000000000002e+01,3.0390300000000002e+03,15916
"BROOKLYN",2.0010000000000000e+03,1.9000000000000000e+01,1.9000000000000000e+01,"W",7903688.0000,6501963.0000,14843922.0000,10948088.0000,1525183.0000,14686238.0000,836.0000,836.0000,63485.0000,63485.0000,95035.0000,200868.0000,95035.0000,,11391065.0000,11391065.0000,308523.0000,0.0000,1648419.0000,1339896.0000,,,6454577.0000,6317611.0000,9.7878001920187796e-01,6691403.0000,6450996.0000,9.6407225808997010e-01,"A3",2.8969999999999999e+01,291077567.0000,405452106.0000,4.4000000000000000e+01,2.4750000000000001e-02,2.1969999999999999e+01,1.2688700000000001e+03,7333
"BURLINGTON",2.0010000000000000e+03,2.0000000000000000e+01,2.0000000000000000e+01,"H",3474380.0000,13888506.0000,18000562.0000,13275505.0000,225143.0000,17362821.0000,0.0000,0.0000,302774.0000,302774.0000,334967.0000,336112.0000,334967.0000,7868646.1028,2580285.0000,10448931.1028,0.0000,197961.0000,1420281.0000,1420281.0000,19803.0000,,13638508.0000,13359689.0000,9.7955648814371776e-01,14291127.0000,13619573.0000,9.5300902441074098e-01,"A2",2.9789999999999999e+01,484119958.0000,692471041.0000,7.0000000000000000e+00,2.3991031390134528e-02,2.7750000000000000e+01,1.5823400000000001e+03,8352
"CANAAN",2.0010000000000000e+03,2.1000000000000000e+01,2.1000000000000000e+01,"L",578024.0000,2769961.0000,3595264.0000,2207712.0000,133263.0000,3368142.0000,0.0000,0.0000,2404.0000,2404.0000,224718.0000,82657.0000,224718.0000,149378.1074,1228000.0000,1377378.1074,0.0000,0.0000,661123.0000,661123.0000,47903.0000,,2720575.0000,2668560.0000,9.8088087996103768e-01,2872624.0000,2763204.0000,9.6190939016035515e-01,,3.2939999999999998e+01,86598088.0000,157834008.0000,4.0000000000000000e+00,2.0028612303290415e-02,3.1250000000000000e+01,1.8334000000000000e+02,1090
"CANTERBURY",2.0010000000000000e+03,2.2000000000000000e+01,2.2000000000000000e+01,"W",5902262.0000,5007161.0000,11151358.0000,8108479.0000,842110.0000,10467924.0000,0.0000,0.0000,378073.0000,378073.0000,305361.0000,381777.0000,305361.0000,,5340000.0000,5340000.0000,283207.0000,300000.0000,2106274.0000,1823067.0000,,,4961507.0000,4776160.0000,9.6264300342617681e-01,5434742.0000,4918300.0000,9.0497396196544377e-01,"A3",3.9890000000000001e+01,202157560.0000,297837615.0000,1.7000000000000000e+01,3.0758476057322615e-02,2.4160000000000000e+01,8.7446000000000004e+02,4762
"CANTON",2.0010000000000000e+03,2.3000000000000000e+01,2.3000000000000000e+01,"H",3471918.0000,16538459.0000,21019668.0000,13734565.0000,1545068.0000,20649988.0000,0.0000,439097.0000,466321.0000,466321.0000,-96641.0000,-84885.0000,342456.0000,,11205644.0000,11205644.0000,130530.0000,275000.0000,1503816.0000,1373286.0000,,469689.0000,16556733.0000,16264121.0000,9.8232670660328947e-01,17403509.0000,16433345.0000,9.4425469024666231e-01,"A1",2.4560000000000002e+01,537502719.0000,770732027.0000,9.0000000000000000e+00,2.1571977787270397e-02,3.0250000000000000e+01,1.5866400000000001e+03,9162
"CHAPLIN",2.0010000000000000e+03,2.4000000000000000e+01,2.4000000000000000e+01,"W",2708654.0000,2636652.0000,5518629.0000,3901769.0000,472790.0000,5425887.0000,0.0000,0.0000,162253.0000,162253.0000,-69511.0000,27352.0000,-69511.0000,36866.2585,3034158.0000,3071024.2585,419535.0000,0.0000,884679.0000,465144.0000,,,2514705.0000,2453238.0000,9.7555697387963991e-01,2698115.0000,2570116.0000,9.5255984270499960e-01,,1.9440000000000001e+01,85327600.0000,122051814.0000,7.0000000000000000e+00,2.8006589785831960e-02,2.9330000000000002e+01,3.6690000000000003e+02,2368
"CHESHIRE",2.0010000000000000e+03,2.5000000000000000e+01,2.5000000000000000e+01,"NH",15787580.0000,53069535.0000,72536439.0000,45157315.0000,9620714.0000,71869272.0000,899848.0000,899848.0000,1100000.0000,1100000.0000,467015.0000,980103.0000,467015.0000,,88724352.0000,88724352.0000,1286016.0000,480000.0000,5482671.0000,4196655.0000,,367325.0000,52889231.0000,52337486.0000,9.8956791411847145e-01,54243573.0000,52739496.0000,9.7227179337909764e-01,"Aa3",3.2899999999999999e+01,1750792071.0000,2542754180.0000,2.1000000000000000e+01,2.1885763490241104e-02,3.0000000000000000e+01,4.9467200000000003e+03,28848
