Municipality,numbered,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL_REAL,REAL_EXEMPTIONS,TOTAL_NET_REAL,TOTAL_GROSS_MOTOR,MOTOR_EXEMPTIONS,TOTAL_NET_MOTOR,TOTAL_PERS_PROP,PERS_PROP_EXEMPTIONS,TOTAL_NET_PERS_PROP,TOTAL_GROSS_GL,TOTAL_NET_GL,OTHER
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,2.2177632000000000e+08,1.3780880000000000e+07,2.2340700000000000e+06,0.0000000000000000e+00,1.7612300000000000e+06,2.6620556000000000e+08,1.0547500000000000e+06,2.6515081000000000e+08,2.7906760000000000e+07,2.2699000000000000e+05,2.7679770000000000e+07,1.1815048000000000e+07,1.5396480000000000e+06,1.0275400000000000e+07,3.0592736800000000e+08,3.0310598000000000e+08,2.6653060000000000e+07
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,4.0616410000000000e+08,1.0414670000000000e+07,3.1965740000000000e+07,0.0000000000000000e+00,7.7978000000000000e+05,4.6491065000000000e+08,7.3251040000000000e+06,4.5758554600000000e+08,3.9766107000000000e+07,1.9189740000000000e+06,3.7847133000000000e+07,1.9686241000000000e+07,2.3722610000000000e+06,1.7313980000000000e+07,5.2436299800000000e+08,5.1274665900000000e+08,1.5586360000000000e+07
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1.4662332500000000e+09,2.5826698000000000e+08,1.2985210000000000e+08,3.5575000000000000e+06,0.0000000000000000e+00,1.9207518400000000e+09,7.1083620000000000e+06,1.9136434780000000e+09,1.6120045000000000e+08,1.6699600000000000e+06,1.5953049000000000e+08,1.8644942000000000e+08,3.3934330000000000e+07,1.5251509000000000e+08,2.2684017100000000e+09,2.2256890580000000e+09,6.2842010000000000e+07
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,4.4934393000000000e+08,1.7050608000000000e+07,1.3544960000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,4.8523864800000000e+08,3.5441900000000000e+06,4.8169445800000000e+08,4.5401678000000000e+07,6.5197800000000000e+05,4.4749700000000000e+07,1.5484060000000000e+07,3.8849270000000000e+06,1.1599133000000000e+07,5.4612438600000000e+08,5.3804329100000000e+08,5.2991500000000000e+06
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.6270985300000000e+09,2.2993508000000000e+08,8.9021640000000000e+07,0.0000000000000000e+00,2.3342260000000000e+07,2.0286130800000000e+09,6.3703500000000000e+06,2.0222427300000000e+09,1.3370145000000000e+08,5.3281000000000000e+05,1.3316864000000000e+08,1.5083263000000000e+08,1.3642660000000000e+07,1.3718997000000000e+08,2.3131471600000000e+09,2.2926013400000000e+09,5.9215570000000000e+07
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,3.0587031000000000e+08,7.7078200000000000e+06,4.4901300000000000e+06,0.0000000000000000e+00,7.0116000000000000e+05,3.2492809000000000e+08,1.5966900000000000e+06,3.2333140000000000e+08,3.0758991000000000e+07,2.5165000000000000e+05,3.0507341000000000e+07,7.3202120000000000e+06,9.3148700000000000e+05,6.3887250000000000e+06,3.6300729300000000e+08,3.6022746600000000e+08,6.1586700000000000e+06
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,9.7276032000000000e+08,2.6804195900000000e+08,1.1036214000000000e+08,0.0000000000000000e+00,6.8019310000000000e+07,1.4210136990000000e+09,6.3703000000000000e+06,1.4146433990000000e+09,1.3961243400000000e+08,2.8420190000000000e+06,1.3677041500000000e+08,2.3485722200000000e+08,6.3118717000000000e+07,1.7173850500000000e+08,1.7954833550000000e+09,1.7231523190000000e+09,1.8299700000000000e+06
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,3.2684720000000000e+08,1.5840300000000000e+07,5.3682300000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.5921372000000000e+08,2.2027750000000000e+06,3.5701094500000000e+08,3.6544230000000000e+07,2.4623000000000000e+05,3.6298000000000000e+07,9.8144600000000000e+06,5.6169000000000000e+05,9.2527700000000000e+06,4.0557241000000000e+08,4.0256171500000000e+08,1.1157990000000000e+07
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,1.6202511000000000e+08,1.0644700000000000e+07,2.1338780000000000e+07,0.0000000000000000e+00,1.0877800000000000e+06,2.0575367000000000e+08,1.0094100000000000e+06,2.0474426000000000e+08,2.3544950000000000e+07,1.1546000000000000e+05,2.3429490000000000e+07,2.1049760000000000e+07,9.9752900000000000e+06,1.1074470000000000e+07,2.5034838000000000e+08,2.3924822000000000e+08,1.0657300000000000e+07
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,2.5102246200000000e+09,3.2146980000000000e+08,1.0298018000000000e+08,2.4031000000000000e+06,4.1756260000000000e+07,2.9978531600000000e+09,1.0493300000000000e+07,2.9873598600000000e+09,2.1592365600000000e+08,1.9014930000000000e+06,2.1402216300000000e+08,1.2804086900000000e+08,1.6652737000000000e+07,1.1138813200000000e+08,3.3418176850000000e+09,3.3127701550000000e+09,1.9019200000000000e+07
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,3.2580614260000000e+09,7.4514552500000000e+08,1.7100681000000000e+08,4.1309539000000000e+07,2.8104902500000000e+08,4.5318519570000000e+09,2.2183807000000000e+07,4.5096681500000000e+09,3.9704177300000000e+08,7.9320410000000000e+06,3.8910973200000000e+08,6.7681785100000000e+08,3.5330124000000000e+07,6.4148772700000000e+08,5.6057115810000000e+09,5.5402656090000000e+09,3.5279632000000000e+07
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,3.5894992200000000e+08,2.9796000000000000e+06,7.9950000000000000e+05,5.6750000000000000e+05,0.0000000000000000e+00,3.8976514200000000e+08,7.3900000000000000e+05,3.8902614200000000e+08,1.7579863000000000e+07,5.1340000000000000e+04,1.7528523000000000e+07,3.3116450000000000e+06,2.7467000000000000e+05,3.0369750000000000e+06,4.1065665000000000e+08,4.0959164000000000e+08,2.6468620000000000e+07
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,2.8100350100000000e+09,4.4395689000000000e+08,2.3546477000000000e+08,2.8413000000000000e+05,1.5504794000000000e+08,3.6989171000000000e+09,4.6251870000000000e+07,3.6526652300000000e+09,3.4219675000000000e+08,3.5912700000000000e+06,3.3860548000000000e+08,3.6539646000000000e+08,1.2123145000000000e+08,2.4416501000000000e+08,4.4065103100000000e+09,4.2354357200000000e+09,5.4128360000000000e+07
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,1.9245526700000000e+09,2.5496413000000000e+08,1.0932283000000000e+08,2.9725500000000000e+06,8.6311700000000000e+06,2.3551613200000000e+09,4.7446200000000000e+06,2.3504167000000000e+09,1.3542484600000000e+08,2.0664000000000000e+05,1.3521820600000000e+08,9.3349180000000000e+07,7.4591360000000000e+06,8.5890044000000000e+07,2.5839353460000000e+09,2.5715249500000000e+09,5.4717970000000000e+07
