Municipality,2008 LABOR FORCE,2008 EMPLOYED,2008 UNEMPLOYED,2008 UNEMP RATE,Numbered
"ANDOVER",1.9850000000000000e+03,1.9050000000000000e+03,8.0000000000000000e+01,4.0302267002518891e-02,1
"ANSONIA",1.0092000000000000e+04,9.3750000000000000e+03,7.1700000000000000e+02,7.1046373365041618e-02,2
"ASHFORD",2.6660000000000000e+03,2.5400000000000000e+03,1.2600000000000000e+02,4.7261815453863466e-02,3
"AVON",9.2990000000000000e+03,8.9670000000000000e+03,3.3200000000000000e+02,3.5702763738036346e-02,4
"BARKHAMSTED",2.2280000000000000e+03,2.1220000000000000e+03,1.0600000000000000e+02,4.7576301615798920e-02,5
"BEACON FALLS",3.3350000000000000e+03,3.1430000000000000e+03,1.9200000000000000e+02,5.7571214392803598e-02,6
"BERLIN",1.1526000000000000e+04,1.0982000000000000e+04,5.4400000000000000e+02,4.7197640117994100e-02,7
"BETHANY",3.1660000000000000e+03,3.0310000000000000e+03,1.3500000000000000e+02,4.2640555906506630e-02,8
"BETHEL",1.0870000000000000e+04,1.0400000000000000e+04,4.7000000000000000e+02,4.3238270469181231e-02,9
"BETHLEHEM",2.0330000000000000e+03,1.9400000000000000e+03,9.3000000000000000e+01,4.5745204131824889e-02,10
"BLOOMFIELD",1.0247000000000000e+04,9.5770000000000000e+03,6.7000000000000000e+02,6.5384990728993855e-02,11
"BOLTON",3.0650000000000000e+03,2.9350000000000000e+03,1.3000000000000000e+02,4.2414355628058731e-02,12
"BOZRAH",1.4920000000000000e+03,1.4110000000000000e+03,8.1000000000000000e+01,5.4289544235924934e-02,13
"BRANFORD",1.7475000000000000e+04,1.6625000000000000e+04,8.5000000000000000e+02,4.8640915593705293e-02,14
"BRIDGEPORT",6.3188000000000000e+04,5.7602000000000000e+04,5.5860000000000000e+03,8.8402861302779009e-02,15
"BRIDGEWATER",1.0410000000000000e+03,1.0030000000000000e+03,3.8000000000000000e+01,3.6503362151777137e-02,16
"BRISTOL",3.4554000000000000e+04,3.2408000000000000e+04,2.1460000000000000e+03,6.2105689645193030e-02,17
"BROOKFIELD",9.1830000000000000e+03,8.7690000000000000e+03,4.1400000000000000e+02,4.5083306109114665e-02,18
"BROOKLYN",3.9250000000000000e+03,3.6590000000000000e+03,2.6600000000000000e+02,6.7770700636942668e-02,19
"BURLINGTON",5.4220000000000000e+03,5.1880000000000000e+03,2.3400000000000000e+02,4.3157506455182591e-02,20
"CANAAN",6.1200000000000000e+02,5.8400000000000000e+02,2.8000000000000000e+01,4.5751633986928102e-02,21
"CANTERBURY",3.2520000000000000e+03,3.0600000000000000e+03,1.9200000000000000e+02,5.9040590405904057e-02,22
"CANTON",5.8200000000000000e+03,5.5940000000000000e+03,2.2600000000000000e+02,3.8831615120274915e-02,23
"CHAPLIN",1.4930000000000000e+03,1.4090000000000000e+03,8.4000000000000000e+01,5.6262558606831881e-02,24
"CHESHIRE",1.4683000000000000e+04,1.4032000000000000e+04,6.5100000000000000e+02,4.4336988353878636e-02,25
"CHESTER",2.3000000000000000e+03,2.2040000000000000e+03,9.6000000000000000e+01,4.1739130434782612e-02,26
"CLINTON",8.0180000000000000e+03,7.6420000000000000e+03,3.7600000000000000e+02,4.6894487403342476e-02,27
"COLCHESTER",8.9360000000000000e+03,8.4870000000000000e+03,4.4900000000000000e+02,5.0246195165622204e-02,28
"COLEBROOK",8.3600000000000000e+02,8.1000000000000000e+02,2.6000000000000000e+01,3.1100478468899521e-02,29
"COLUMBIA",3.0890000000000000e+03,2.9470000000000000e+03,1.4200000000000000e+02,4.5969569439948205e-02,30
"CORNWALL",8.3800000000000000e+02,8.0600000000000000e+02,3.2000000000000000e+01,3.8186157517899763e-02,31
"COVENTRY",7.1010000000000000e+03,6.7530000000000000e+03,3.4800000000000000e+02,4.9007182087029998e-02,32
"CROMWELL",7.9060000000000000e+03,7.5220000000000000e+03,3.8400000000000000e+02,4.8570705793068554e-02,33
"DANBURY",4.4976000000000000e+04,4.2856000000000000e+04,2.1200000000000000e+03,4.7136250444681609e-02,34
"DARIEN",9.2540000000000000e+03,8.8990000000000000e+03,3.5500000000000000e+02,3.8361789496433978e-02,35
"DEEP RIVER",2.5990000000000000e+03,2.4760000000000000e+03,1.2300000000000000e+02,4.7325894574836477e-02,36
"DERBY",6.9750000000000000e+03,6.5070000000000000e+03,4.6800000000000000e+02,6.7096774193548384e-02,37
"DURHAM",4.3270000000000000e+03,4.1580000000000000e+03,1.6900000000000000e+02,3.9057083429627916e-02,38
"EAST GRANBY",2.9880000000000000e+03,2.8620000000000000e+03,1.2600000000000000e+02,4.2168674698795178e-02,39
"EAST HADDAM",5.2210000000000000e+03,4.9920000000000000e+03,2.2900000000000000e+02,4.3861329247270639e-02,40
"EAST HAMPTON",7.1450000000000000e+03,6.7340000000000000e+03,4.1100000000000000e+02,5.7522743177046885e-02,41
"EAST HARTFORD",2.5584000000000000e+04,2.3731000000000000e+04,1.8530000000000000e+03,7.2428080050031263e-02,42
"EAST HAVEN",1.6266000000000000e+04,1.5274000000000000e+04,9.9200000000000000e+02,6.0986105987950325e-02,43
"EAST LYME",9.8370000000000000e+03,9.3710000000000000e+03,4.6600000000000000e+02,4.7372166310867131e-02,44
"EAST WINDSOR",6.3190000000000000e+03,5.9260000000000000e+03,3.9300000000000000e+02,6.2193385029276786e-02,45
"EASTFORD",1.0190000000000000e+03,9.7200000000000000e+02,4.7000000000000000e+01,4.6123650637880272e-02,46
"EASTON",3.7700000000000000e+03,3.6110000000000000e+03,1.5900000000000000e+02,4.2175066312997347e-02,47
"ELLINGTON",8.8760000000000000e+03,8.4610000000000000e+03,4.1500000000000000e+02,4.6755295178008111e-02,48
"ENFIELD",2.4017000000000000e+04,2.2650000000000000e+04,1.3670000000000000e+03,5.6918016405046429e-02,49
"ESSEX",3.8130000000000000e+03,3.6530000000000000e+03,1.6000000000000000e+02,4.1961709939680042e-02,50
"FAIRFIELD",2.8669000000000000e+04,2.7343000000000000e+04,1.3260000000000000e+03,4.6252049251805087e-02,51
"FARMINGTON",1.3107000000000000e+04,1.2539000000000000e+04,5.6800000000000000e+02,4.3335622186617836e-02,52
"FRANKLIN",1.1930000000000000e+03,1.1310000000000000e+03,6.2000000000000000e+01,5.1969823973176864e-02,53
"GLASTONBURY",1.8431000000000000e+04,1.7716000000000000e+04,7.1500000000000000e+02,3.8793337312137161e-02,54
"GOSHEN",1.6500000000000000e+03,1.5760000000000000e+03,7.4000000000000000e+01,4.4848484848484846e-02,55
