Record Num,Entity,Type of Plan,Plan Name,Volunteer,All Grps,Gen'l Twn Grp,Police Grp,Fire Grp,NonCrtfd Ed Grp,Other Dscrptn,Other Grp,Number of Members:,Pay-As-You-Go,req'd emplyr contrib,emplyr contrib made,contrib percentage,GASB5 ValDate,GASB5 PBO,GASB5 NetAssets,GASB27 ValDate,GASB27 AAL,GASB27 AssetValue,Comments,Aggregate Method,Plan NPO,footnotes
1008,"WESTBROOK",0,"Westbrook Retirement Plan",0,1,0,0,0,0,,0,82,0,81600,87382,0,,,,"07/01/04 00:00:00",3767642,3729011,,0,-37146,
1009,"WESTBROOK",0,"Westbrook Volunteer Firefighters' Pension Fund",1,0,0,0,1,0,,0,78,0,33012,33012,0,,,,"07/01/04 00:00:00",680437,411558,,0,-1153,
1010,"DEEP RIVER",0,"Town of Deep River Employee's Retirement Plan",0,1,0,0,0,0,,0,30,0,187316,198995,0,,,,"07/01/04 00:00:00",1015726,780929,,0,718060,
1011,"DEEP RIVER",0,"Firefighters' Merit Plan",1,0,0,0,1,0,,0,40,0,27447,20943,0,,,,"07/01/04 00:00:00",378693,204385,,0,39362,
1012,"BRIDGEPORT",0,"Public Safety Plan A",0,0,0,1,1,0,,0,1055,0,4644980,49996,0,,,,"07/01/04 00:00:00",344937000,293358000,,0,-98688130,"***"
1013,"BRIDGEPORT",0,"Police Retirement Plan B - post 6/3/81 employees",0,0,0,1,0,0,,0,472,0,2989284,1023683,0,,,,"07/01/04 00:00:00",76263000,68187000,,0,-2235151,
1014,"BRIDGEPORT",0,"Firefighters' Retirement Plan B - post 12/31/83 employees",0,0,0,0,1,0,,0,298,0,1555881,202131,0,,,,"07/01/04 00:00:00",45810000,43037000,,0,-1202953,
1015,"BRIDGEPORT",0,"Janitors And Engineers Retirement Fund",0,0,0,0,0,0,"Janitors and Engineers hired prior to 1985",1,57,0,938753,1054820,0,,,,"07/01/02 00:00:00",10575000,3000,,0,2614295,
1016,"ANSONIA",0,"Police Retirement Plan",0,0,0,1,0,0,,0,63,0,486869,868973,0,,,,"07/01/02 00:00:00",6785000,2763000,,0,2025335,
1017,"ANSONIA",0,"City Employees' Retirement Plan",0,1,0,0,0,0,,0,59,0,19868,110000,0,,,,"07/01/03 00:00:00",,,,1,-37924,
1018,"DURHAM",0,"Retirement Plan For Employees of The Town of Durham",0,1,0,0,0,0,,0,35,0,44957,22500,0,,,,"07/01/04 00:00:00",535885,282769,,0,22457,
1019,"DERBY",0,"City of Derby Public Employee Retirement System",0,1,0,0,0,0,,0,139,0,361200,250000,0,,,,"07/01/03 00:00:00",7518625,7259660,,0,312912,
1020,"NEW MILFORD",0,"Town of New Milford Pension Plan",0,1,0,0,0,0,,0,633,0,1274284,1306033,0,,,,"07/01/04 00:00:00",24420448,24677125,,0,112626,
1021,"STAFFORD",0,"Town of Stafford Pension Plan",0,0,1,0,0,0,,0,72,0,304743,270000,0,,,,"01/01/05 00:00:00",3098731,1778673,,0,71884,
1022,"STAFFORD",0,"Town of Stafford Water Pollution Control Authority",0,0,0,0,0,0,"WPCA Employees",1,7,0,27280,27280,0,,,,"01/01/05 00:00:00",319259,203542,,0,-7795,
1023,"STAFFORD",0,"Town of Stafford Board of Education",0,0,0,0,0,1,,0,156,0,330297,330297,0,,,,"01/01/05 00:00:00",3266166,2270413,,0,-29884,
1024,"PUTNAM",0,"Town of Putnam Pension Plan",0,1,0,0,0,0,,0,211,0,111512,111512,0,,,,"07/01/04 00:00:00",,,,1,0,
1025,"HARWINTON",0,"Town of Harwinton Pension Trust",0,1,0,0,0,0,,0,21,0,118276,120000,0,,,,"07/01/04 00:00:00",,,,1,35541,
1026,"KILLINGWORTH",0,"Town of Killingworth Defined Benefit Plan",0,1,0,0,0,0,,0,20,0,163997,0,0,,,,"07/01/03 00:00:00",1215354,761270,,0,,
1027,"WARREN",0,"Town of Warren Pension Plan",0,1,0,0,0,0,,0,10,0,22066,120750,0,,,,"07/01/04 00:00:00",338153,200514,,0,-102599,
1028,"BERLIN",0,"Town of Berlin Defined Benefit Plan",0,1,0,0,0,0,,0,84,0,204922,250368,0,,,,"07/01/04 00:00:00",2729559,2592038,,0,-666120,
1029,"BRANFORD",0,"Branford Police Employees Retirement Plan",0,0,0,1,0,0,,0,81,0,502901,675000,0,,,,"07/01/03 00:00:00",12551982,9593076,,0,-109568,
1030,"BROOKLYN",0,"Retirement Plan For Town of Brooklyn",0,1,0,0,0,0,,0,92,0,114578,114578,0,,,,"07/01/04 00:00:00",2142955,1795300,,0,-25035,
1031,"BURLINGTON",0,"Town of Burlington Employees Pension Plan",0,1,0,0,0,0,,0,28,0,188331,181590,0,,,,"07/01/04 00:00:00",,,,1,346110,
1032,"BURLINGTON",0,"Town of Burlington Constables Plan",0,0,0,1,0,0,,0,2,0,89523,86489,0,,,,"07/01/04 00:00:00",,,,1,9549,
1033,"CLINTON",0,"Police Employees' Retirement Plan",0,0,0,1,0,0,,0,31,0,432851,300000,0,,,,"07/01/04 00:00:00",8492775,5552440,,0,329983,
1034,"CLINTON",0,"Board of Education Noncertified Personnel Pension Plan",0,0,0,0,0,1,,0,89,0,289657,300000,0,,,,"07/01/04 00:00:00",,,,1,-5856,
1035,"EASTON",0,"Town of Easton Retirement Plans I and II",0,0,1,0,0,1,,1,168,0,432663,500000,0,,,,"07/01/05 00:00:00",10048650,9136909,,0,-31117,
1036,"EAST WINDSOR",0,"Town of East Windsor Pension Plan",0,1,0,0,0,0,,0,191,0,970187,492276,0,,,,"07/01/04 00:00:00",10309996,6275788,,0,944851,
1037,"FAIRFIELD",0,"Town of Fairfield Police and Fire Retirement Plan",0,0,0,1,1,0,,0,382,0,0,0,0,,,,"07/01/04 00:00:00",124110000,153938000,,0,-3102000,
1038,"FAIRFIELD",0,"Town of Fairfield Town Employees Retirement Plan",0,0,1,0,0,1,,0,1121,0,0,0,0,,,,"07/01/04 00:00:00",113405000,143440000,,0,-1605000,
