Municipality,Numbered,ADM 2007-08,NCE 2007-08
"ANDOVER            ",1,6.4213999999999999e+02,7139312.0000
"ANSONIA            ",2,2.8674299999999998e+03,29566938.0000
"ASHFORD            ",3,7.1078999999999996e+02,9967732.0000
"AVON               ",4,3.5965599999999999e+03,38917347.0000
"BARKHAMSTED        ",5,6.5694000000000005e+02,7392697.0000
"BEACON FALLS       ",6,1.0690500000000000e+03,11564775.0000
"BERLIN             ",7,3.3133200000000002e+03,37182013.0000
"BETHANY            ",8,1.0878399999999999e+03,12773702.0000
"BETHEL             ",9,3.1580700000000002e+03,38982875.0000
"BETHLEHEM          ",10,5.3119000000000005e+02,6829778.0000
"BLOOMFIELD         ",11,2.6285999999999999e+03,38686935.0000
"BOLTON             ",12,8.6856000000000006e+02,11466452.0000
"BOZRAH             ",13,3.9157999999999998e+02,4840245.0000
"BRANFORD           ",14,3.5365000000000000e+03,44538977.0000
"BRIDGEPORT         ",15,2.1801840000000000e+04,262128482.0000
"BRIDGEWATER        ",16,2.5042000000000002e+02,4350437.0000
"BRISTOL            ",17,9.0401599999999999e+03,99345943.0000
"BROOKFIELD         ",18,2.9912000000000003e+03,34075918.0000
"BROOKLYN           ",19,1.3491300000000001e+03,14350749.0000
"BURLINGTON         ",20,1.8746500000000001e+03,19951841.0000
"CANAAN             ",21,1.4431000000000000e+02,2603516.0000
"CANTERBURY         ",22,8.2990999999999997e+02,10291607.0000
"CANTON             ",23,1.7310400000000000e+03,20759241.0000
"CHAPLIN            ",24,3.4225999999999999e+02,5561679.0000
"CHESHIRE           ",25,5.0968000000000002e+03,55060672.0000
"CHESTER            ",26,5.8824000000000001e+02,7307903.0000
"CLINTON            ",27,2.1248000000000002e+03,27822824.0000
"COLCHESTER         ",28,3.2645200000000000e+03,33049765.0000
"COLEBROOK          ",29,2.6338999999999999e+02,3464161.0000
"COLUMBIA           ",30,8.5580000000000007e+02,10967396.0000
"CORNWALL           ",31,2.0131000000000000e+02,3548393.0000
"COVENTRY           ",32,2.0746700000000001e+03,22658291.0000
"CROMWELL           ",33,1.9834900000000000e+03,24150445.0000
"DANBURY            ",34,9.9647800000000007e+03,115235556.0000
"DARIEN             ",35,4.6651599999999999e+03,64023808.0000
