MUNICIPALITY,Numbered,Sept10 Labor Force,Sept10 Unemployed
"ANDOVER",1.0000000000000000e+00,1.9870000000000000e+03,1.1300000000000000e+02
"ANSONIA",2.0000000000000000e+00,1.0182000000000000e+04,1.1440000000000000e+03
"ASHFORD",3.0000000000000000e+00,2.6800000000000000e+03,1.9600000000000000e+02
"AVON",4.0000000000000000e+00,9.2780000000000000e+03,5.2600000000000000e+02
"BARKHAMSTED",5.0000000000000000e+00,2.2910000000000000e+03,2.0800000000000000e+02
"BEACON FALLS",6.0000000000000000e+00,3.3840000000000000e+03,3.2100000000000000e+02
"BERLIN",7.0000000000000000e+00,1.1651000000000000e+04,8.3500000000000000e+02
"BETHANY",8.0000000000000000e+00,3.1780000000000000e+03,2.1400000000000000e+02
"BETHEL",9.0000000000000000e+00,1.0743000000000000e+04,7.8100000000000000e+02
"BETHLEHEM",1.0000000000000000e+01,2.0260000000000000e+03,1.4500000000000000e+02
"BLOOMFIELD",1.1000000000000000e+01,1.0387000000000000e+04,1.0520000000000000e+03
"BOLTON",1.2000000000000000e+01,3.0820000000000000e+03,2.0000000000000000e+02
"BOZRAH",1.3000000000000000e+01,1.5120000000000000e+03,1.2000000000000000e+02
"BRANFORD",1.4000000000000000e+01,1.7550000000000000e+04,1.3210000000000000e+03
"BRIDGEPORT",1.5000000000000000e+01,6.4532000000000000e+04,8.6450000000000000e+03
"BRIDGEWATER",1.6000000000000000e+01,1.0220000000000000e+03,6.0000000000000000e+01
"BRISTOL",1.7000000000000000e+01,3.4895000000000000e+04,3.2470000000000000e+03
"BROOKFIELD",1.8000000000000000e+01,9.1900000000000000e+03,6.6200000000000000e+02
"BROOKLYN",1.9000000000000000e+01,3.9520000000000000e+03,3.6200000000000000e+02
"BURLINGTON",2.0000000000000000e+01,5.4320000000000000e+03,3.5600000000000000e+02
"CANAAN",2.1000000000000000e+01,6.0800000000000000e+02,4.3000000000000000e+01
"CANTERBURY",2.2000000000000000e+01,3.2670000000000000e+03,2.5900000000000000e+02
"CANTON",2.3000000000000000e+01,5.9050000000000000e+03,4.3200000000000000e+02
"CHAPLIN",2.4000000000000000e+01,1.4830000000000000e+03,9.3000000000000000e+01
"CHESHIRE",2.5000000000000000e+01,1.4863000000000000e+04,1.0350000000000000e+03
"CHESTER",2.6000000000000000e+01,2.2820000000000000e+03,1.3400000000000000e+02
"CLINTON",2.7000000000000000e+01,8.0080000000000000e+03,5.3900000000000000e+02
"COLCHESTER",2.8000000000000000e+01,9.0860000000000000e+03,7.1200000000000000e+02
"COLEBROOK",2.9000000000000000e+01,8.1700000000000000e+02,3.6000000000000000e+01
"COLUMBIA",3.0000000000000000e+01,3.1190000000000000e+03,2.2600000000000000e+02
"CORNWALL",3.1000000000000000e+01,8.3500000000000000e+02,5.5000000000000000e+01
"COVENTRY",3.2000000000000000e+01,7.1700000000000000e+03,5.2500000000000000e+02
"CROMWELL",3.3000000000000000e+01,7.9910000000000000e+03,5.9600000000000000e+02
"DANBURY",3.4000000000000000e+01,4.4624000000000000e+04,3.3490000000000000e+03
"DARIEN",3.5000000000000000e+01,9.1850000000000000e+03,5.7000000000000000e+02
"DEEP RIVER",3.6000000000000000e+01,2.5760000000000000e+03,1.5600000000000000e+02
"DERBY",3.7000000000000000e+01,7.0370000000000000e+03,7.7600000000000000e+02
"DURHAM",3.8000000000000000e+01,4.3700000000000000e+03,2.7600000000000000e+02
"EAST GRANBY",3.9000000000000000e+01,3.0150000000000000e+03,1.7800000000000000e+02
"EAST HADDAM",4.0000000000000000e+01,5.2540000000000000e+03,3.3900000000000000e+02
"EAST HAMPTON",4.1000000000000000e+01,7.2800000000000000e+03,6.0200000000000000e+02
"EAST HARTFORD",4.2000000000000000e+01,2.6025000000000000e+04,2.9260000000000000e+03
"EAST HAVEN",4.3000000000000000e+01,1.6462000000000000e+04,1.5990000000000000e+03
"EAST LYME",4.4000000000000000e+01,1.0136000000000000e+04,7.2400000000000000e+02
"EAST WINDSOR",4.5000000000000000e+01,6.5690000000000000e+03,6.0900000000000000e+02
"EASTFORD",4.6000000000000000e+01,1.0220000000000000e+03,6.8000000000000000e+01
"EASTON",4.7000000000000000e+01,3.7570000000000000e+03,2.6000000000000000e+02
"ELLINGTON",4.8000000000000000e+01,9.0950000000000000e+03,6.1800000000000000e+02
"ENFIELD",4.9000000000000000e+01,2.4156000000000000e+04,2.1300000000000000e+03
"ESSEX",5.0000000000000000e+01,3.8350000000000000e+03,2.4300000000000000e+02
"FAIRFIELD",5.1000000000000000e+01,2.8657000000000000e+04,2.2320000000000000e+03
