TANF13%,TANF12%,MUNICIPALITY,numbered,2012 TANF RECIPIENTS,2013 TANF RECIPIENTS,SortID
4.2780620210900532e-02,4.5623053333653608e-02,"HARTFORD",6.5000000000000000e+01,5.6980000000000000e+03,5.3430000000000000e+03,1
3.6785914453269175e-02,3.6977294164285815e-02,"NEW BRITAIN",9.0000000000000000e+01,2.7050000000000000e+03,2.6910000000000000e+03,2
3.3207478506118361e-02,3.3780648683073282e-02,"WATERBURY",1.5200000000000000e+02,3.7130000000000000e+03,3.6500000000000000e+03,3
3.3203050305565966e-02,3.2254610259979652e-02,"NEW HAVEN",9.4000000000000000e+01,4.2170000000000000e+03,4.3410000000000000e+03,4
2.7579610218803556e-02,2.8296998923916943e-02,"WINDHAM",1.6400000000000000e+02,7.1000000000000000e+02,6.9200000000000000e+02,5
2.4939545963114016e-02,2.4903454000794023e-02,"NEW LONDON",9.5000000000000000e+01,6.9000000000000000e+02,6.9100000000000000e+02,6
2.3302031756872118e-02,2.6703090319276080e-02,"BRIDGEPORT",1.5000000000000000e+01,3.9100000000000000e+03,3.4120000000000000e+03,7
2.1949932385632771e-02,2.2461162967116331e-02,"MERIDEN",8.1000000000000000e+01,1.3620000000000000e+03,1.3310000000000000e+03,8
2.0887857389758530e-02,2.1184139054861488e-02,"NORWICH",1.0500000000000000e+02,8.5800000000000000e+02,8.4600000000000000e+02,9
1.8333593384303324e-02,1.9113746294273679e-02,"EAST HARTFORD",4.2000000000000000e+01,9.8000000000000000e+02,9.4000000000000000e+02,10
1.4876291888506107e-02,1.5085081950099175e-02,"ANSONIA",2.0000000000000000e+00,2.8900000000000000e+02,2.8500000000000000e+02,11
1.4725568942436412e-02,1.1378848728246318e-02,"SPRAGUE",1.3400000000000000e+02,3.4000000000000000e+01,4.4000000000000000e+01,12
1.4537234130323581e-02,1.3712192465719518e-02,"BRISTOL",1.7000000000000000e+01,8.3100000000000000e+02,8.8100000000000000e+02,13
1.3486460857654620e-02,1.2432831103150353e-02,"PUTNAM",1.1700000000000000e+02,1.1800000000000000e+02,1.2800000000000000e+02,14
1.2959353115298534e-02,1.1876398815969967e-02,"WEST HAVEN",1.5600000000000000e+02,6.5800000000000000e+02,7.1800000000000000e+02,15
1.1680293675955281e-02,9.8448189554480228e-03,"GRISWOLD",5.8000000000000000e+01,1.1800000000000000e+02,1.4000000000000000e+02,16
1.1067809820732659e-02,1.1769290724863601e-02,"DERBY",3.7000000000000000e+01,1.5100000000000000e+02,1.4200000000000000e+02,17
1.1004126547455296e-02,1.2510643872404532e-02,"PLAINFIELD",1.1000000000000000e+02,1.9100000000000000e+02,1.6800000000000000e+02,18
1.0911149616565733e-02,1.1254267529036353e-02,"MANCHESTER",7.8000000000000000e+01,6.5600000000000000e+02,6.3600000000000000e+02,19
1.0654930800857026e-02,1.1060281429150502e-02,"KILLINGLY",7.0000000000000000e+01,1.9100000000000000e+02,1.8400000000000000e+02,20
9.5932382461701004e-03,9.1283676703645001e-03,"MIDDLETOWN",8.4000000000000000e+01,4.3200000000000000e+02,4.5400000000000000e+02,21
9.3056795549756200e-03,9.3743561568573591e-03,"VERNON",1.4700000000000000e+02,2.7300000000000000e+02,2.7100000000000000e+02,22
8.5428599165129591e-03,8.5913988933113295e-03,"BLOOMFIELD",1.1000000000000000e+01,1.7700000000000000e+02,1.7600000000000000e+02,23
8.4115567475313915e-03,7.4363037912958674e-03,"BROOKLYN",1.9000000000000000e+01,6.1000000000000000e+01,6.9000000000000000e+01,24
8.2663092046470054e-03,9.8022788203753347e-03,"TORRINGTON",1.4400000000000000e+02,3.5100000000000000e+02,2.9600000000000000e+02,25
8.1827909611632155e-03,7.4904009567570966e-03,"NAUGATUCK",8.9000000000000000e+01,2.3800000000000000e+02,2.6000000000000000e+02,26
7.7423775265501888e-03,7.8108941418293934e-03,"EAST HAVEN",4.3000000000000000e+01,2.2800000000000000e+02,2.2600000000000000e+02,27
7.6401097546949705e-03,7.4758063191101322e-03,"HAMDEN",6.3000000000000000e+01,4.5500000000000000e+02,4.6500000000000000e+02,28
7.4970644024929993e-03,9.2132598681239266e-03,"WINCHESTER",1.6300000000000000e+02,1.0200000000000000e+02,8.3000000000000000e+01,29
7.4127211860353899e-03,6.1374143153196236e-03,"WINDSOR LOCKS",1.6600000000000000e+02,7.7000000000000000e+01,9.3000000000000000e+01,30
7.3942249849608980e-03,7.3440946460798075e-03,"GROTON",5.9000000000000000e+01,2.9300000000000000e+02,2.9500000000000000e+02,31
7.3703606212161092e-03,5.2645433008686494e-03,"STERLING",1.3700000000000000e+02,2.0000000000000000e+01,2.8000000000000000e+01,32
6.7214339058999251e-03,4.6943347914221696e-03,"THOMPSON",1.4200000000000000e+02,4.4000000000000000e+01,6.3000000000000000e+01,33
6.2985077012844802e-03,6.6342149645509116e-03,"STAMFORD",1.3600000000000000e+02,8.3000000000000000e+02,7.8800000000000000e+02,34
6.1242344706911632e-03,6.9991251093613300e-03,"CHAPLIN",2.4000000000000000e+01,1.6000000000000000e+01,1.4000000000000000e+01,35
6.0741249142072752e-03,6.2800274536719287e-03,"WINDSOR",1.6500000000000000e+02,1.8300000000000000e+02,1.7700000000000000e+02,36
6.0690943043884222e-03,4.9019607843137254e-03,"ASHFORD",3.0000000000000000e+00,2.1000000000000000e+01,2.6000000000000000e+01,37
5.9701492537313433e-03,4.3628013777267513e-03,"LISBON",7.4000000000000000e+01,1.9000000000000000e+01,2.6000000000000000e+01,38
5.9143191812124352e-03,6.6440079113620218e-03,"STRATFORD",1.3900000000000000e+02,3.4600000000000000e+02,3.0800000000000000e+02,39
5.7903879559930514e-03,5.0459095045082307e-03,"PLYMOUTH",1.1200000000000000e+02,6.1000000000000000e+01,7.0000000000000000e+01,40
5.7803468208092483e-03,5.4997474605757895e-03,"PLAINVILLE",1.1100000000000000e+02,9.8000000000000000e+01,1.0300000000000000e+02,41
5.6874160322436182e-03,5.6874160322436182e-03,"ENFIELD",4.9000000000000000e+01,2.5400000000000000e+02,2.5400000000000000e+02,42
5.6728122132309999e-03,5.3391173771585882e-03,"STAFFORD",1.3500000000000000e+02,6.4000000000000000e+01,6.8000000000000000e+01,43
5.2631578947368420e-03,2.3391812865497076e-03,"SCOTLAND",1.2400000000000000e+02,4.0000000000000000e+00,9.0000000000000000e+00,44
5.2531790790633645e-03,6.1105945149564651e-03,"DANBURY",3.4000000000000000e+01,5.0600000000000000e+02,4.3500000000000000e+02,45
5.1735287777538259e-03,4.3112739814615223e-03,"STONINGTON",1.3800000000000000e+02,8.0000000000000000e+01,9.6000000000000000e+01,46
4.9789352738414403e-03,6.8939103791650705e-03,"VOLUNTOWN",1.4800000000000000e+02,1.8000000000000000e+01,1.3000000000000000e+01,47
4.9261083743842365e-03,8.2101806239737278e-03,"CANAAN",2.1000000000000000e+01,1.0000000000000000e+01,6.0000000000000000e+00,48
4.6909049202890239e-03,5.8837022594334211e-03,"NORWALK",1.0400000000000000e+02,5.1300000000000000e+02,4.0900000000000000e+02,49
4.5045045045045045e-03,4.3680043680043683e-03,"LEBANON",7.2000000000000000e+01,3.2000000000000000e+01,3.3000000000000000e+01,50
4.4438548782914375e-03,4.1785501094382168e-03,"LEDYARD",7.3000000000000000e+01,6.3000000000000000e+01,6.7000000000000000e+01,51
4.4193843340444988e-03,4.0638016864776999e-03,"MONTVILLE",8.7000000000000000e+01,8.0000000000000000e+01,8.7000000000000000e+01,52
4.1275138315623079e-03,5.1813471502590676e-03,"EAST WINDSOR",4.5000000000000000e+01,5.9000000000000000e+01,4.7000000000000000e+01,53
