MUNICIPALITY,Numbered,NOV2013 LF,NOV2013 UNEMP
"ANDOVER",1.0000000000000000e+00,1.9850000000000000e+03,1.1800000000000000e+02
"ANSONIA",2.0000000000000000e+00,9.8980000000000000e+03,8.0000000000000000e+02
"ASHFORD",3.0000000000000000e+00,2.4830000000000000e+03,1.5400000000000000e+02
"AVON",4.0000000000000000e+00,9.4450000000000000e+03,4.3100000000000000e+02
"BARKHAMSTED",5.0000000000000000e+00,2.1960000000000000e+03,1.2200000000000000e+02
"BEACON FALLS",6.0000000000000000e+00,3.3400000000000000e+03,2.0100000000000000e+02
"BERLIN",7.0000000000000000e+00,1.1182000000000000e+04,6.0800000000000000e+02
"BETHANY",8.0000000000000000e+00,3.0530000000000000e+03,1.6100000000000000e+02
"BETHEL",9.0000000000000000e+00,1.0949000000000000e+04,6.2700000000000000e+02
"BETHLEHEM",1.0000000000000000e+01,1.9770000000000000e+03,9.9000000000000000e+01
"BLOOMFIELD",1.1000000000000000e+01,9.9190000000000000e+03,8.3100000000000000e+02
"BOLTON",1.2000000000000000e+01,2.8720000000000000e+03,1.6000000000000000e+02
"BOZRAH",1.3000000000000000e+01,1.4730000000000000e+03,1.0400000000000000e+02
"BRANFORD",1.4000000000000000e+01,1.6319000000000000e+04,9.3800000000000000e+02
"BRIDGEPORT",1.5000000000000000e+01,6.4931000000000000e+04,6.9450000000000000e+03
"BRIDGEWATER",1.6000000000000000e+01,9.2700000000000000e+02,5.8000000000000000e+01
"BRISTOL",1.7000000000000000e+01,3.3128000000000000e+04,2.3970000000000000e+03
"BROOKFIELD",1.8000000000000000e+01,9.1140000000000000e+03,5.1400000000000000e+02
"BROOKLYN",1.9000000000000000e+01,3.9700000000000000e+03,2.7900000000000000e+02
"BURLINGTON",2.0000000000000000e+01,5.3800000000000000e+03,2.7800000000000000e+02
"CANAAN",2.1000000000000000e+01,6.5100000000000000e+02,2.4000000000000000e+01
"CANTERBURY",2.2000000000000000e+01,2.9610000000000000e+03,2.0600000000000000e+02
"CANTON",2.3000000000000000e+01,5.7640000000000000e+03,2.9200000000000000e+02
"CHAPLIN",2.4000000000000000e+01,1.2970000000000000e+03,8.2000000000000000e+01
"CHESHIRE",2.5000000000000000e+01,1.4473000000000000e+04,8.3100000000000000e+02
"CHESTER",2.6000000000000000e+01,2.4570000000000000e+03,1.2300000000000000e+02
"CLINTON",2.7000000000000000e+01,7.5740000000000000e+03,4.6800000000000000e+02
"COLCHESTER",2.8000000000000000e+01,8.9790000000000000e+03,5.2900000000000000e+02
"COLEBROOK",2.9000000000000000e+01,7.7800000000000000e+02,3.2000000000000000e+01
"COLUMBIA",3.0000000000000000e+01,3.0770000000000000e+03,1.9900000000000000e+02
"CORNWALL",3.1000000000000000e+01,7.6900000000000000e+02,3.4000000000000000e+01
"COVENTRY",3.2000000000000000e+01,6.9790000000000000e+03,4.2000000000000000e+02
"CROMWELL",3.3000000000000000e+01,7.9940000000000000e+03,4.7300000000000000e+02
"DANBURY",3.4000000000000000e+01,4.5416000000000000e+04,2.4570000000000000e+03
"DARIEN",3.5000000000000000e+01,9.1540000000000000e+03,4.3300000000000000e+02
"DEEP RIVER",3.6000000000000000e+01,2.4770000000000000e+03,1.4400000000000000e+02
"DERBY",3.7000000000000000e+01,6.8470000000000000e+03,5.3800000000000000e+02
"DURHAM",3.8000000000000000e+01,4.1780000000000000e+03,2.1500000000000000e+02
"EAST GRANBY",3.9000000000000000e+01,2.9200000000000000e+03,1.5900000000000000e+02
"EAST HADDAM",4.0000000000000000e+01,5.1920000000000000e+03,2.6900000000000000e+02
"EAST HAMPTON",4.1000000000000000e+01,7.0390000000000000e+03,4.2100000000000000e+02
"EAST HARTFORD",4.2000000000000000e+01,2.6009000000000000e+04,2.1960000000000000e+03
"EAST HAVEN",4.3000000000000000e+01,1.6131000000000000e+04,1.2320000000000000e+03
"EAST LYME",4.4000000000000000e+01,9.0570000000000000e+03,5.4000000000000000e+02
"EAST WINDSOR",4.5000000000000000e+01,6.5610000000000000e+03,4.4900000000000000e+02
"EASTFORD",4.6000000000000000e+01,9.5100000000000000e+02,5.5000000000000000e+01
"EASTON",4.7000000000000000e+01,3.6970000000000000e+03,1.9400000000000000e+02
"ELLINGTON",4.8000000000000000e+01,9.3210000000000000e+03,5.0000000000000000e+02
"ENFIELD",4.9000000000000000e+01,2.3159000000000000e+04,1.5480000000000000e+03
"ESSEX",5.0000000000000000e+01,3.6150000000000000e+03,1.7500000000000000e+02
"FAIRFIELD",5.1000000000000000e+01,2.8672000000000000e+04,1.6810000000000000e+03
"FARMINGTON",5.2000000000000000e+01,1.2863000000000000e+04,7.0100000000000000e+02
"FRANKLIN",5.3000000000000000e+01,1.1520000000000000e+03,8.1000000000000000e+01
"GLASTONBURY",5.4000000000000000e+01,1.8594000000000000e+04,9.3200000000000000e+02
"GOSHEN",5.5000000000000000e+01,1.4880000000000000e+03,7.2000000000000000e+01
"GRANBY",5.6000000000000000e+01,6.2060000000000000e+03,3.0400000000000000e+02
"GREENWICH",5.7000000000000000e+01,2.9216000000000000e+04,1.4390000000000000e+03
"GRISWOLD",5.8000000000000000e+01,7.0510000000000000e+03,5.6200000000000000e+02
"GROTON",5.9000000000000000e+01,1.7864000000000000e+04,1.3610000000000000e+03
"GROTON (City of)",6.0000000000000000e+01,,
"GUILFORD",6.1000000000000000e+01,1.2728000000000000e+04,6.6800000000000000e+02
"HADDAM",6.2000000000000000e+01,5.0820000000000000e+03,2.4400000000000000e+02
"HAMDEN",6.3000000000000000e+01,3.1776000000000000e+04,2.1780000000000000e+03
"HAMPTON",6.4000000000000000e+01,1.0670000000000000e+03,7.5000000000000000e+01
"HARTFORD",6.5000000000000000e+01,4.9049000000000000e+04,6.5540000000000000e+03
"HARTLAND",6.6000000000000000e+01,1.1990000000000000e+03,6.1000000000000000e+01
"HARWINTON",6.7000000000000000e+01,3.0850000000000000e+03,1.6800000000000000e+02
"HEBRON",6.8000000000000000e+01,5.6010000000000000e+03,3.1100000000000000e+02
"KENT",6.9000000000000000e+01,1.5610000000000000e+03,7.1000000000000000e+01
"KILLINGLY",7.0000000000000000e+01,9.1780000000000000e+03,8.0600000000000000e+02
"KILLINGWORTH",7.1000000000000000e+01,3.5850000000000000e+03,2.1400000000000000e+02
"LEBANON",7.2000000000000000e+01,4.2100000000000000e+03,2.5200000000000000e+02
"LEDYARD",7.3000000000000000e+01,7.9110000000000000e+03,5.2900000000000000e+02
"LISBON",7.4000000000000000e+01,2.4520000000000000e+03,1.6100000000000000e+02
"LITCHFIELD",7.5000000000000000e+01,4.1670000000000000e+03,2.3300000000000000e+02
"LYME",7.6000000000000000e+01,1.2150000000000000e+03,6.6000000000000000e+01
"MADISON",7.7000000000000000e+01,9.5680000000000000e+03,4.6500000000000000e+02
"MANCHESTER",7.8000000000000000e+01,3.2697000000000000e+04,2.1440000000000000e+03
"MANSFIELD",7.9000000000000000e+01,1.3279000000000000e+04,8.3700000000000000e+02
"MARLBOROUGH",8.0000000000000000e+01,3.6060000000000000e+03,2.0100000000000000e+02
"MERIDEN",8.1000000000000000e+01,3.1889000000000000e+04,2.7750000000000000e+03
"MIDDLEBURY",8.2000000000000000e+01,3.9260000000000000e+03,2.1700000000000000e+02
"MIDDLEFIELD",8.3000000000000000e+01,2.4040000000000000e+03,1.4400000000000000e+02
"MIDDLETOWN",8.4000000000000000e+01,2.5941000000000000e+04,1.8130000000000000e+03
"MILFORD",8.5000000000000000e+01,2.9545000000000000e+04,1.8550000000000000e+03
"MONROE",8.6000000000000000e+01,1.0319000000000000e+04,5.3200000000000000e+02
"MONTVILLE",8.7000000000000000e+01,1.0114000000000000e+04,7.1400000000000000e+02
"MORRIS",8.8000000000000000e+01,1.2750000000000000e+03,7.6000000000000000e+01
"NAUGATUCK",8.9000000000000000e+01,1.6544000000000000e+04,1.3550000000000000e+03
"NEW BRITAIN",9.0000000000000000e+01,3.4966000000000000e+04,3.2920000000000000e+03
"NEW CANAAN",9.1000000000000000e+01,8.6940000000000000e+03,4.4400000000000000e+02
"NEW FAIRFIELD",9.2000000000000000e+01,7.3880000000000000e+03,3.9200000000000000e+02
"NEW HARTFORD",9.3000000000000000e+01,3.8060000000000000e+03,2.3400000000000000e+02
"NEW HAVEN",9.4000000000000000e+01,5.7777000000000000e+04,5.8360000000000000e+03
"NEW LONDON",9.5000000000000000e+01,1.3589000000000000e+04,1.3330000000000000e+03
"NEW MILFORD",9.6000000000000000e+01,1.5611000000000000e+04,8.7100000000000000e+02
"NEWINGTON",9.7000000000000000e+01,1.6737000000000000e+04,9.9700000000000000e+02
"NEWTOWN",9.8000000000000000e+01,1.4339000000000000e+04,7.4400000000000000e+02
"NORFOLK",9.9000000000000000e+01,9.5200000000000000e+02,5.7000000000000000e+01
"NORTH BRANFORD",1.0000000000000000e+02,8.1430000000000000e+03,4.6300000000000000e+02
"NORTH CANAAN",1.0100000000000000e+02,1.6480000000000000e+03,9.3000000000000000e+01
"NORTH HAVEN",1.0200000000000000e+02,1.2900000000000000e+04,7.9000000000000000e+02
"NORTH STONINGTON",1.0300000000000000e+02,3.1030000000000000e+03,2.1900000000000000e+02
"NORWALK",1.0400000000000000e+02,4.8661000000000000e+04,3.0160000000000000e+03
"NORWICH",1.0500000000000000e+02,2.1252000000000000e+04,1.7370000000000000e+03
"OLD LYME",1.0600000000000000e+02,3.9620000000000000e+03,2.2000000000000000e+02
"OLD SAYBROOK",1.0700000000000000e+02,5.2010000000000000e+03,2.8000000000000000e+02
"ORANGE",1.0800000000000000e+02,7.1660000000000000e+03,3.9800000000000000e+02
"OXFORD",1.0900000000000000e+02,7.2530000000000000e+03,3.6600000000000000e+02
"PLAINFIELD",1.1000000000000000e+02,8.2500000000000000e+03,7.5700000000000000e+02
"PLAINVILLE",1.1100000000000000e+02,1.0119000000000000e+04,6.7200000000000000e+02
"PLYMOUTH",1.1200000000000000e+02,6.7310000000000000e+03,5.6000000000000000e+02
"POMFRET",1.1300000000000000e+02,2.2580000000000000e+03,1.3600000000000000e+02
"PORTLAND",1.1400000000000000e+02,5.1700000000000000e+03,2.9600000000000000e+02
"PRESTON",1.1500000000000000e+02,2.5860000000000000e+03,1.8600000000000000e+02
"PROSPECT",1.1600000000000000e+02,5.2530000000000000e+03,3.0700000000000000e+02
"PUTNAM",1.1700000000000000e+02,5.1510000000000000e+03,3.5600000000000000e+02
"REDDING",1.1800000000000000e+02,4.7100000000000000e+03,2.0900000000000000e+02
"RIDGEFIELD",1.1900000000000000e+02,1.1764000000000000e+04,5.9000000000000000e+02
"ROCKY HILL",1.2000000000000000e+02,1.0941000000000000e+04,5.8700000000000000e+02
"ROXBURY",1.2100000000000000e+02,1.2990000000000000e+03,5.8000000000000000e+01
"SALEM",1.2200000000000000e+02,2.4700000000000000e+03,1.5700000000000000e+02
"SALISBURY",1.2300000000000000e+02,1.7660000000000000e+03,6.5000000000000000e+01
"SCOTLAND",1.2400000000000000e+02,9.7400000000000000e+02,4.3000000000000000e+01
"SEYMOUR",1.2500000000000000e+02,9.1270000000000000e+03,6.4300000000000000e+02
"SHARON",1.2600000000000000e+02,1.3850000000000000e+03,5.6000000000000000e+01
"SHELTON",1.2700000000000000e+02,2.2255000000000000e+04,1.3560000000000000e+03
"SHERMAN",1.2800000000000000e+02,1.8660000000000000e+03,9.2000000000000000e+01
"SIMSBURY",1.2900000000000000e+02,1.1767000000000000e+04,5.9900000000000000e+02
"SOMERS",1.3000000000000000e+02,4.8320000000000000e+03,2.8800000000000000e+02
"SOUTH WINDSOR",1.3100000000000000e+02,1.4363000000000000e+04,8.0700000000000000e+02
"SOUTHBURY",1.3200000000000000e+02,8.8740000000000000e+03,5.3700000000000000e+02
"SOUTHINGTON",1.3300000000000000e+02,2.4232000000000000e+04,1.3900000000000000e+03
"SPRAGUE",1.3400000000000000e+02,1.7000000000000000e+03,1.7000000000000000e+02
"STAFFORD",1.3500000000000000e+02,6.7440000000000000e+03,4.3100000000000000e+02
"STAMFORD",1.3600000000000000e+02,6.7134000000000000e+04,3.9100000000000000e+03
"STERLING",1.3700000000000000e+02,2.1210000000000000e+03,1.7400000000000000e+02
"STONINGTON",1.3800000000000000e+02,9.8440000000000000e+03,5.8400000000000000e+02
"STRATFORD",1.3900000000000000e+02,2.6556000000000000e+04,2.0540000000000000e+03
"SUFFIELD",1.4000000000000000e+02,7.6970000000000000e+03,4.3100000000000000e+02
"THOMASTON",1.4100000000000000e+02,4.4550000000000000e+03,3.0300000000000000e+02
"THOMPSON",1.4200000000000000e+02,5.2350000000000000e+03,3.5200000000000000e+02
"TOLLAND",1.4300000000000000e+02,8.3010000000000000e+03,4.0200000000000000e+02
"TORRINGTON",1.4400000000000000e+02,1.9440000000000000e+04,1.4830000000000000e+03
"TRUMBULL",1.4500000000000000e+02,1.7960000000000000e+04,1.0230000000000000e+03
"UNION",1.4600000000000000e+02,5.2100000000000000e+02,2.4000000000000000e+01
"VERNON",1.4700000000000000e+02,1.6716000000000000e+04,1.1520000000000000e+03
"VOLUNTOWN",1.4800000000000000e+02,1.5000000000000000e+03,1.2100000000000000e+02
"WALLINGFORD",1.4900000000000000e+02,2.5073000000000000e+04,1.6300000000000000e+03
"WARREN",1.5000000000000000e+02,7.6700000000000000e+02,3.8000000000000000e+01
"WASHINGTON",1.5100000000000000e+02,1.8430000000000000e+03,1.0100000000000000e+02
"WATERBURY",1.5200000000000000e+02,5.0066000000000000e+04,5.7840000000000000e+03
"WATERFORD",1.5300000000000000e+02,1.0028000000000000e+04,6.9400000000000000e+02
"WATERTOWN",1.5400000000000000e+02,1.1860000000000000e+04,7.8900000000000000e+02
"WEST HARTFORD",1.5500000000000000e+02,2.9599000000000000e+04,1.6870000000000000e+03
"WEST HAVEN",1.5600000000000000e+02,3.0545000000000000e+04,2.4060000000000000e+03
"WESTBROOK",1.5700000000000000e+02,3.7530000000000000e+03,2.0700000000000000e+02
"WESTON",1.5800000000000000e+02,4.7740000000000000e+03,2.1400000000000000e+02
"WESTPORT",1.5900000000000000e+02,1.2476000000000000e+04,6.4400000000000000e+02
"WETHERSFIELD",1.6000000000000000e+02,1.3289000000000000e+04,7.8700000000000000e+02
"WILLINGTON",1.6100000000000000e+02,3.6650000000000000e+03,1.7300000000000000e+02
"WILTON",1.6200000000000000e+02,8.3960000000000000e+03,4.5000000000000000e+02
"WINCHESTER",1.6300000000000000e+02,6.1080000000000000e+03,4.7900000000000000e+02
"WINDHAM",1.6400000000000000e+02,1.1839000000000000e+04,1.1050000000000000e+03
"WINDSOR",1.6500000000000000e+02,1.6052000000000000e+04,1.1180000000000000e+03
"WINDSOR LOCKS",1.6600000000000000e+02,7.0250000000000000e+03,4.9700000000000000e+02
"WOLCOTT",1.6700000000000000e+02,8.8930000000000000e+03,5.9200000000000000e+02
"WOODBRIDGE",1.6800000000000000e+02,4.5670000000000000e+03,2.1900000000000000e+02
"WOODBURY",1.6900000000000000e+02,5.5000000000000000e+03,2.9300000000000000e+02
"WOODSTOCK",1.7000000000000000e+02,4.3430000000000000e+03,2.1300000000000000e+02
