MUNICIPALITY,NUMBERED,TOWN CODE,Net Grand List - 2012 GL Year
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,258994445.0000
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,892673611.0000
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,295376144.0000
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2688826620.0000
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,374882562.0000
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,472457962.0000
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,2155657751.0000
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,620166763.0000
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1852145585.0000
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,407011169.0000
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,2031708687.0000
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,480891802.0000
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,215585700.0000
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,3486675562.0000
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,7110904657.0000
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,387086614.0000
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,3773177053.0000
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,2181612178.0000
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,531868925.0000
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,941466651.0000
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,170020565.0000
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,383275877.0000
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,1135939550.0000
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,171883425.0000
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2881617644.0000
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,501227540.0000
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1499396462.0000
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,1191172264.0000
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,184993030.0000
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,463992644.0000
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,393024930.0000
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,994034405.0000
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,1255940643.0000
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,6827106602.0000
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,8891650290.0000
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,488069153.0000
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,744835102.0000
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,737429530.0000
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,625457959.0000
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,806263942.0000
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,1125833320.0000
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,2891286830.0000
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,1776284501.0000
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,2047804403.0000
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,958013937.0000
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,170535038.0000
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,1291874778.0000
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,1271301727.0000
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,2845323647.0000
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,1119610296.0000
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,10889060051.0000
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,3475173670.0000
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,215037865.0000
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,3808546358.0000
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,518007170.0000
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,954011490.0000
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,30824749610.0000
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,695610176.0000
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,3868863246.0000
"GROTON (City of)",6.0000000000000000e+01,,
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,3493861794.0000
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,899845277.0000
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,4062588948.0000
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,155670037.0000
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,3484646856.0000
"HARTLAND",6.6000000000000000e+01,6.5000000000000000e+01,195097545.0000
"HARWINTON",6.7000000000000000e+01,6.6000000000000000e+01,564695831.0000
