Entity,Initials,DBplans,DCplans,CSplans,Comment,NPO
"BERLIN","BP",1,1,0,,0
"HAMPTON","BP",0,1,0,,0
"BRIDGEPORT","BP",4,0,1,,0
"LEBANON","BP",0,0,1,,0
"ANDOVER","BP",0,0,1,,0
"ANSONIA","BP",2,0,1,,0
"ASHFORD","BP",0,1,0,,0
"BEACON FALLS","BP",0,0,1,,0
"BETHLEHEM","BP",2,0,0,,0
"BOLTON","BP",0,1,0,,0
"BOZRAH","BP",0,0,1,,0
"BRANFORD","BP",1,0,1,,0
"BROOKLYN","BP",2,0,0,,0
"BURLINGTON","BP",2,0,0,,0
"EAST HAVEN","BP",0,0,1,,0
"EAST WINDSOR","BP",1,0,0,,0
"EASTFORD","BP",0,1,0,,0
"EASTON","BP",1,1,1,,0
"FAIRFIELD","BP",2,1,0,,0
"GOSHEN","BP",1,1,0,,0
"FRANKLIN","BP",0,0,0,,0
"GUILFORD","BP",3,0,0,"No longer in DC Plan as of 7/1/12",0
"HARTFORD","BP",2,0,1,,0
"KILLINGWORTH","BP",2,0,0,,0
"HEBRON","BP",0,1,0,,0
"HARWINTON","BP",1,0,0,,0
"HARTLAND","BP",0,1,0,,0
"MIDDLEFIELD","BP",0,0,1,,0
"MARLBOROUGH","BP",0,0,0,,0
"MANCHESTER","BP",1,1,1,,0
"MADISON","BP",3,1,0,,0
"LISBON","BP",0,0,1,,0
"MILFORD","BP",1,0,0,,0
"MONTVILLE","BP",0,0,1,,0
"MORRIS","BP",2,0,0,,0
"NEW HARTFORD","BP",1,1,0,,0
"NEW LONDON","BP",2,3,1,,0
"NEW MILFORD","BP",1,0,0,,0
"OXFORD","BP",0,0,1,,0
"AVON","JG",5,2,0,,0
"BARKHAMSTED","JG",0,1,0,,0
"BETHANY","JG",0,2,1,,0
"BETHEL","JG",2,0,0,,0
"BLOOMFIELD","JG",2,0,0,,0
"BRIDGEWATER","JG",0,1,0,,0
"BRISTOL","JG",3,0,0,,0
"BROOKFIELD","JG",1,0,0,,0
"CANTERBURY","JG",0,0,1,,0
"CANTON","JG",2,2,0,,0
"CHESHIRE","JG",3,0,0,,0
"CHESTER","JG",2,0,0,,0
"COLCHESTER","JG",1,1,0,,0
"COVENTRY","JG",1,0,0,,0
"CROMWELL","JG",1,0,1,,0
"DANBURY","JG",6,0,0,,0
"DARIEN","JG",2,0,0,,0
"EAST GRANBY","JG",0,2,0,,0
"EAST HAMPTON","JG",1,0,0,,0
"EAST HARTFORD","JG",1,0,0,,0
"EAST LYME","JG",1,1,0,,0
"ELLINGTON","JG",0,1,1,,0
"ENFIELD","JG",2,0,0,,0
"ESSEX","JG",3,0,0,,0
"FARMINGTON","JG",1,0,0,,0
"GLASTONBURY","JG",1,0,0,,0
"GRANBY","JG",1,0,0,,0
"GREENWICH","JG",1,1,0,,0
"GRISWOLD","JG",0,0,1,,0
"GROTON","JG",1,0,0,,0
"GROTON (City of)","JG",1,0,0,,0
"HADDAM","JG",2,0,0,,0
"HAMDEN","JG",1,0,1,,0
"KENT","JG",0,1,0,,0
"KILLINGLY","JG",1,0,0,,0
"LEDYARD","JG",1,1,0,,0
"LITCHFIELD","JG",2,1,0,,0
"LYME","JG",0,2,0,,0
"MANSFIELD","JG",0,0,1,,0
"MERIDEN","JG",3,1,0,,0
"MIDDLEBURY","JG",1,1,0,,0
"MIDDLETOWN","JG",1,0,0,,0
"MONROE","JG",2,0,1,,0
"NAUGATUCK","JG",2,0,0,,0
"NEW BRITAIN","JG",3,0,1,,0
"NEW CANAAN","JG",1,1,0,,0
"NEW HAVEN","JG",2,0,0,,0
"NEWTOWN","JG",2,1,0,,0
