Municipality,RPA Identifier
"ANDOVER","Capitol"
"ANSONIA","Naugatuck Valley"
"ASHFORD","Northeast CT"
"AVON","Capitol"
"BARKHAMSTED","Northwest Hills"
"BEACON FALLS","Naugatuck Valley"
"BERLIN","Capitol"
"BETHANY","South Central"
"BETHEL","Western CT"
"BETHLEHEM","Naugatuck Valley"
"BLOOMFIELD","Capitol"
"BOLTON","Capitol"
"BOZRAH","Southeastern CT"
"BRANFORD","South Central"
"BRIDGEPORT","Greater Bridgeport"
"BRIDGEWATER","Western CT"
"BRISTOL","Naugatuck Valley"
"BROOKFIELD","Western CT"
"BROOKLYN","Northeast CT"
"BURLINGTON","Northwest Hills"
"CANAAN","Northwest Hills"
"CANTERBURY","Northeast CT"
"CANTON","Capitol"
"CHAPLIN","Northeast CT"
"CHESHIRE","Naugatuck Valley"
"CHESTER","Lower CT River Valley"
"CLINTON","Lower CT River Valley"
"COLCHESTER","Southeastern CT"
"COLEBROOK","Northwest Hills"
"COLUMBIA","Capitol"
"CORNWALL","Northwest Hills"
"COVENTRY","Capitol"
"CROMWELL","Lower CT River Valley"
"DANBURY","Western CT"
"DARIEN","Western CT"
"DEEP RIVER","Lower CT River Valley"
"DERBY","Naugatuck Valley"
"DURHAM","Lower CT River Valley"
"EAST GRANBY","Capitol"
"EAST HADDAM","Lower CT River Valley"
"EAST HAMPTON","Lower CT River Valley"
"EAST HARTFORD","Capitol"
"EAST HAVEN","South Central"
"EAST LYME","Southeastern CT"
"EAST WINDSOR","Capitol"
"EASTFORD","Northeast CT"
"EASTON","Greater Bridgeport"
"ELLINGTON","Capitol"
"ENFIELD","Capitol"
"ESSEX","Lower CT River Valley"
"FAIRFIELD","Greater Bridgeport"
"FARMINGTON","Capitol"
"FRANKLIN","Southeastern CT"
"GLASTONBURY","Capitol"
"GOSHEN","Northwest Hills"
"GRANBY","Capitol"
"GREENWICH","Western CT"
"GRISWOLD","Southeastern CT"
"GROTON","Southeastern CT"
"GROTON (City of)",
"GUILFORD","South Central"
