MUNICIPALITY,NUMBERED,TOWN CODE,2014 Net GL,2014 GL Tax Exempt Property,Total Assessed Value 2014 GL,Tax Exempt Property as a % of 2014 GL
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.6313390500000000e+08,1.2852200000000000e+07,2.7598610500000000e+08,4.6568286472248303e-02
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,8.9409898500000000e+08,1.2263150000000000e+08,1.0167304850000000e+09,1.2061357636974955e-01
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.9746670400000000e+08,3.3284690000000000e+07,3.3075139400000000e+08,1.0063355923452283e-01
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2.5777982500000000e+09,2.4063224000000000e+08,2.8184304900000000e+09,8.5378099922556544e-02
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,3.4169996500000000e+08,1.8627580000000000e+07,3.6032754500000000e+08,5.1696242095507855e-02
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,4.7922158800000000e+08,4.1161040000000000e+07,5.2038262800000000e+08,7.9097644281853313e-02
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,2.1771548280000000e+09,1.4891910000000000e+08,2.3260739280000000e+09,6.4021653915378049e-02
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,5.5130617100000000e+08,3.8815970000000000e+07,5.9012214100000000e+08,6.5776162768988525e-02
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.8901220000000000e+09,9.7475890000000000e+07,1.9875978900000000e+09,4.9042057495844900e-02
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,3.6753296700000000e+08,2.8437230000000000e+07,3.9597019700000000e+08,7.1816591792639384e-02
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,2.0339849900000000e+09,1.7791364000000000e+08,2.2118986300000000e+09,8.0434807267817696e-02
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,4.2851980300000000e+08,2.9329590000000000e+07,4.5784939300000000e+08,6.4059471189470377e-02
