Municipality,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2014 Population,Moody's_Bond_Ratings_Dec_2014,Moody's_Bond_Ratings_July_2014,area lmt,ACGLFY14,EGL,TANF14 Recipients,empl,ACMR,enrollmt
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,"H",256306000.0000,36201000.0000,293602000.0000,9763000.0000,2000.0000,0.0000,3856000.0000,1113000.0000,30926000.0000,25955000.0000,30924000.0000,"N",64980000.0000,127757000.0000,198138000.0000,102684000.0000,9294000.0000,158025000.0000,2288000.0000,2288000.0000,41574000.0000,41574000.0000,827000.0000,669000.0000,827000.0000,0.0000,"N","N",,70637000.0000,70637000.0000,127835000.0000,125593000.0000,9.8246176712168032e-01,130508000.0000,127046000.0000,9.7347289055077080e-01,6.0570000000000000e+04,"Aa2","Aa2",2.6510000000000002e+01,3773177053.0000,5400791638.5700,8.5300000000000000e+02,7.3198198198198200e-02,3.3500000000000000e+01,8.4909899999999998e+03
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,"F",41445707.0000,-13486951.0000,27958756.0000,-604484.0000,0.0000,0.0000,1762144.0000,0.0000,6152754.0000,4390610.0000,6152754.0000,"N",7044108.0000,55535626.0000,63929211.0000,42881832.0000,4273857.0000,63289023.0000,203138.0000,17779429.0000,845450.0000,18029200.0000,-2124.0000,421501.0000,390417.0000,0.0000,"N","N",,37459511.0000,37459511.0000,55196602.0000,54725137.0000,9.9145844159029939e-01,56063304.0000,55180475.0000,9.8425299729034876e-01,1.7055000000000000e+04,"Aa1","Aa1",1.9800000000000001e+01,2181612178.0000,3191616522.9900,8.0000000000000000e+00,5.2097939812317980e-02,2.5399999999999999e+01,2.8262900000000000e+03
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,"W",25296729.0000,332532.0000,26104068.0000,-94396.0000,6900.0000,32351.0000,0.0000,128118.0000,2745164.0000,2577795.0000,2705913.0000,"N",9903495.0000,12833167.0000,23262353.0000,18141251.0000,5079506.0000,22696276.0000,0.0000,1000.0000,381523.0000,381523.0000,184554.0000,588787.0000,185554.0000,0.0000,"N","N",,4625791.0000,4625791.0000,12402823.0000,12214086.0000,9.8478273857491960e-01,12968979.0000,12602421.0000,9.7173578583171427e-01,8.2540000000000000e+03,"A1","A1",2.8969999999999999e+01,531868925.0000,736109247.4500,7.0000000000000000e+01,7.0239843367596672e-02,2.3190000000000001e+01,1.2390000000000000e+03
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,"H",9418948.0000,8432243.0000,18104382.0000,1031488.0000,0.0000,0.0000,635050.0000,189093.0000,5284296.0000,4460153.0000,5284296.0000,"N",5028255.0000,26048866.0000,32302479.0000,23328178.0000,542467.0000,31589407.0000,116181.0000,116181.0000,541211.0000,541211.0000,288042.0000,735522.0000,288042.0000,0.0000,"N","N",13471459.4084,2797995.0000,16269454.4084,26079669.0000,25834627.0000,9.9060409854128129e-01,26634871.0000,26062692.0000,9.7851767331630779e-01,9.5760000000000000e+03,"Aa2","Aa2",2.9789999999999999e+01,941466651.0000,1268897484.7600,1.1000000000000000e+01,4.5114155251141555e-02,2.7500000000000000e+01,1.7210200000000000e+03
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,"L",3181080.0000,1401721.0000,4695928.0000,-65936.0000,0.0000,0.0000,33819.0000,323668.0000,768832.0000,411345.0000,768832.0000,"N",802830.0000,3687718.0000,4640937.0000,3040647.0000,85613.0000,4507443.0000,8124.0000,8124.0000,218680.0000,218680.0000,-77062.0000,-106254.0000,-77062.0000,0.0000,"N","N",468020.7521,385500.0000,853520.7521,3654308.0000,3586966.0000,9.8157188720819377e-01,3757257.0000,3643904.0000,9.6983091654363807e-01,1.1950000000000000e+03,,,3.2939999999999998e+01,170020565.0000,242972235.7100,8.0000000000000000e+00,5.4698457223001401e-02,2.1500000000000000e+01,1.1488000000000000e+02
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,"W",9562024.0000,4132301.0000,16300460.0000,260727.0000,0.0000,12071.0000,0.0000,358386.0000,2401701.0000,2031244.0000,2389630.0000,"N",6600658.0000,8579715.0000,15466083.0000,12162679.0000,77206.0000,15042817.0000,14300.0000,14300.0000,291493.0000,291493.0000,146073.0000,54850.0000,146073.0000,0.0000,"N","N",,440000.0000,440000.0000,8351236.0000,8178512.0000,9.7931755251557973e-01,8757053.0000,8392562.0000,9.5837743587939916e-01,5.0880000000000000e+03,,,3.9890000000000001e+01,383275877.0000,479945793.6700,2.1000000000000000e+01,6.6480055983205041e-02,2.1699999999999999e+01,6.5963999999999999e+02
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,"H",68507474.0000,10682153.0000,80965713.0000,1582918.0000,57554.0000,0.0000,0.0000,7349.0000,5601459.0000,5536556.0000,5543905.0000,"N",6557094.0000,30757812.0000,38157294.0000,26705326.0000,1449696.0000,36550907.0000,43693.0000,167354.0000,2685550.0000,2685550.0000,-1035470.0000,-164042.0000,-911809.0000,0.0000,"N","N",,14298994.0000,14298994.0000,30598767.0000,30259423.0000,9.8890987993078283e-01,31449709.0000,30504841.0000,9.6995622439622575e-01,1.0345000000000000e+04,"Aa2","Aa2",2.4559999999999999e+01,1135939550.0000,1540795085.4500,1.5000000000000000e+01,4.6640457469621158e-02,2.6910000000000000e+01,1.7267100000000000e+03
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,"W",6480555.0000,941392.0000,7544013.0000,212903.0000,1151.0000,44126.0000,0.0000,65578.0000,1083985.0000,973130.0000,1038708.0000,"N",2725419.0000,5228720.0000,7990607.0000,6101752.0000,27790.0000,8019549.0000,0.0000,0.0000,368490.0000,368490.0000,-397432.0000,142220.0000,-397432.0000,0.0000,"N","N",0.0000,141213.0000,141213.0000,5200342.0000,5071702.0000,9.7526316538412283e-01,5356586.0000,5189538.0000,9.6881446503425872e-01,2.2620000000000000e+03,,,1.9440000000000001e+01,171883425.0000,220319766.2100,1.7000000000000000e+01,6.6343042071197414e-02,3.0149999999999999e+01,3.0373000000000002e+02
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,"NH",113675721.0000,7057990.0000,124370044.0000,-980712.0000,81848.0000,0.0000,500000.0000,2577811.0000,12168865.0000,9009206.0000,12087017.0000,"N",24543872.0000,79722309.0000,107166756.0000,71369932.0000,8810859.0000,107397596.0000,813938.0000,11036928.0000,950000.0000,11029384.0000,-366902.0000,634502.0000,-223296.0000,0.0000,"N","Y",,63752792.0000,63752792.0000,79373263.0000,79201676.0000,9.9783822670865885e-01,79615178.0000,79390716.0000,9.9718066321474530e-01,2.9250000000000000e+04,"Aa1","Aa1",3.2909999999999997e+01,2881617644.0000,3959962623.2000,1.9000000000000000e+01,4.5181901160516368e-02,2.7600000000000001e+01,4.6011199999999999e+03
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,"M",10040313.0000,2903515.0000,13233934.0000,661015.0000,0.0000,0.0000,0.0000,46293.0000,2030317.0000,1984024.0000,2030317.0000,"N",1392643.0000,11037684.0000,12832691.0000,8693813.0000,239394.0000,12163571.0000,173235.0000,173235.0000,745026.0000,745026.0000,97329.0000,418799.0000,97329.0000,0.0000,"N","N",3132487.4337,1468610.0000,4601097.4337,11047679.0000,10900177.0000,9.8664859831644280e-01,11205124.0000,10972424.0000,9.7923271531845613e-01,4.3160000000000000e+03,"Aa3","Aa3",1.6030000000000001e+01,501227540.0000,670265984.4000,4.0000000000000000e+00,4.5962199312714780e-02,2.1949999999999999e+01,4.8022000000000003e+02
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,"M",20416341.0000,18867040.0000,39283381.0000,-675881.0000,0.0000,0.0000,350000.0000,363622.0000,7726215.0000,7012593.0000,7726215.0000,"N",11757984.0000,38123058.0000,51097320.0000,34066239.0000,2158999.0000,49447666.0000,0.0000,0.0000,1914620.0000,1914620.0000,-264966.0000,-456935.0000,-264966.0000,0.0000,"N","N",,27510000.0000,27510000.0000,38153083.0000,37809965.0000,9.9100680802125485e-01,38846217.0000,37969516.0000,9.7743149609651825e-01,1.3129000000000000e+04,"Aa2","Aa2",1.6280000000000001e+01,1499396462.0000,2143157440.3100,3.5000000000000000e+01,5.5647382920110192e-02,2.5430000000000000e+01,2.0162500000000000e+03
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,"NL",58720496.0000,7765179.0000,67767772.0000,2111642.0000,19510.0000,0.0000,120829.0000,250730.0000,5279441.0000,4888372.0000,5259931.0000,"N",19727811.0000,36248381.0000,57442798.0000,43879506.0000,2344691.0000,56825708.0000,0.0000,0.0000,868439.0000,868439.0000,-251349.0000,966821.0000,-251349.0000,0.0000,"N","N",,16278738.0000,16278738.0000,36156049.0000,35565318.0000,9.8366162740845942e-01,37553186.0000,35970418.0000,9.5785263066627691e-01,1.6192000000000000e+04,"Aa3","Aa3",4.9060000000000002e+01,1191172264.0000,1713186821.3600,7.0000000000000000e+01,5.2298788982960025e-02,3.0280000000000001e+01,2.8471999999999998e+03
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,"L",7424901.0000,1483992.0000,9014009.0000,484918.0000,0.0000,0.0000,0.0000,0.0000,1377356.0000,1377356.0000,1377356.0000,"N",979543.0000,5068981.0000,6104784.0000,3781634.0000,73375.0000,5536545.0000,0.0000,0.0000,400000.0000,400000.0000,168239.0000,251777.0000,168239.0000,0.0000,"N","N",431159.1670,500000.0000,931159.1670,5023088.0000,4963345.0000,9.8810632025558776e-01,5181353.0000,5035885.0000,9.7192470769700501e-01,1.4450000000000000e+03,,,3.1489999999999998e+01,184993030.0000,236048961.1200,1.0000000000000000e+00,5.2631578947368418e-02,2.7100000000000001e+01,2.1638999999999999e+02
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,"T",12750360.0000,5587943.0000,18827638.0000,926667.0000,9858.0000,0.0000,0.0000,17500.0000,3014272.0000,2986914.0000,3004414.0000,"N",4564047.0000,12656992.0000,17523472.0000,12716452.0000,542088.0000,16390351.0000,14861.0000,14861.0000,962657.0000,962657.0000,185325.0000,-965701.0000,185325.0000,0.0000,"N","N",,1503911.0000,1503911.0000,12611835.0000,12444953.0000,9.8676782561776299e-01,12842924.0000,12592128.0000,9.8047204826564416e-01,5.4540000000000000e+03,"Aa2","Aa2",2.1350000000000001e+01,463992644.0000,676993655.3500,2.0000000000000000e+01,5.2779512804497192e-02,2.7129999999999999e+01,7.0544000000000005e+02
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,"L",5921755.0000,2777704.0000,8808062.0000,-52146.0000,0.0000,0.0000,0.0000,470008.0000,1955195.0000,1485187.0000,1955195.0000,"N",714591.0000,5732848.0000,6524676.0000,4268248.0000,177150.0000,6134907.0000,0.0000,0.0000,220000.0000,220000.0000,169769.0000,-196847.0000,169769.0000,0.0000,"N","N",630533.3064,1605000.0000,2235533.3064,5695547.0000,5592164.0000,9.8184845107941343e-01,5963810.0000,5646488.0000,9.4679206748705946e-01,1.3980000000000000e+03,"Aa2","Aa2",4.6000000000000000e+01,393024930.0000,506565540.2800,0.0000000000000000e+00,3.6939313984168866e-02,1.4500000000000000e+01,1.4415000000000001e+02
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,"T",97824048.0000,12849496.0000,110677554.0000,2740366.0000,413375.0000,37845.0000,0.0000,864374.0000,5514803.0000,4199209.0000,5063583.0000,"N",13186656.0000,28197177.0000,41957753.0000,29631593.0000,2622402.0000,41570012.0000,689167.0000,689167.0000,322720.0000,322720.0000,754188.0000,897660.0000,754188.0000,0.0000,"N","N",,20612645.0000,20612645.0000,27821385.0000,27346105.0000,9.8291673832916659e-01,28877198.0000,27966075.0000,9.6844835845915522e-01,1.2419000000000000e+04,"Aa3","Aa3",3.7719999999999999e+01,994034405.0000,1353205676.0000,3.8000000000000000e+01,5.1881860951385257e-02,2.7969999999999999e+01,1.8203000000000000e+03
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,"T",5771769.0000,3094930.0000,8988126.0000,12323.0000,7939.0000,0.0000,0.0000,0.0000,2423109.0000,2415170.0000,2415170.0000,"N",2979697.0000,7874644.0000,10928616.0000,8800679.0000,158379.0000,11010158.0000,0.0000,153569.0000,74603.0000,74603.0000,-156145.0000,395766.0000,-2576.0000,0.0000,"N","N",3063445.3747,840425.0000,3903870.3747,7989074.0000,7882743.0000,9.8669044747864398e-01,8128448.0000,7976776.0000,9.8134059540025353e-01,3.2720000000000000e+03,,,1.5449999999999999e+01,258994445.0000,359165307.3800,2.0000000000000000e+00,5.5642225689027561e-02,3.0770000000000000e+01,5.6901999999999998e+02
