MUNICIPALITY,Numbered,YEAR LAST REVAL,YEAR OF NEXT REVAL
"ANDOVER",1.0000000000000000e+00,2.0160000000000000e+03,2021
"ANSONIA",2.0000000000000000e+00,2.0120000000000000e+03,2017
"ASHFORD",3.0000000000000000e+00,2.0160000000000000e+03,2021
"AVON",4.0000000000000000e+00,2.0130000000000000e+03,2018
"BARKHAMSTED",5.0000000000000000e+00,2.0130000000000000e+03,2018
"BEACON FALLS",6.0000000000000000e+00,2.0160000000000000e+03,2021
"BERLIN",7.0000000000000000e+00,2.0120000000000000e+03,2017
"BETHANY",8.0000000000000000e+00,2.0130000000000000e+03,2018
"BETHEL",9.0000000000000000e+00,2.0120000000000000e+03,2017
"BETHLEHEM",1.0000000000000000e+01,2.0130000000000000e+03,2018
"BLOOMFIELD",1.1000000000000000e+01,2.0140000000000000e+03,2019
"BOLTON",1.2000000000000000e+01,2.0130000000000000e+03,2018
"BOZRAH",1.3000000000000000e+01,2.0120000000000000e+03,2017
"BRANFORD",1.4000000000000000e+01,2.0140000000000000e+03,2019
"BRIDGEPORT",1.5000000000000000e+01,2.0150000000000000e+03,2020
"BRIDGEWATER",1.6000000000000000e+01,2.0160000000000000e+03,2021
"BRISTOL",1.7000000000000000e+01,2.0120000000000000e+03,2017
"BROOKFIELD",1.8000000000000000e+01,2.0160000000000000e+03,2021
"BROOKLYN",1.9000000000000000e+01,2.0150000000000000e+03,2020
"BURLINGTON",2.0000000000000000e+01,2.0130000000000000e+03,2018
"CANAAN",2.1000000000000000e+01,2.0120000000000000e+03,2017
"CANTERBURY",2.2000000000000000e+01,2.0150000000000000e+03,2020
"CANTON",2.3000000000000000e+01,2.0130000000000000e+03,2018
"CHAPLIN",2.4000000000000000e+01,2.0130000000000000e+03,2018
"CHESHIRE",2.5000000000000000e+01,2.0130000000000000e+03,2018
"CHESTER",2.6000000000000000e+01,2.0130000000000000e+03,2018
"CLINTON",2.7000000000000000e+01,2.0150000000000000e+03,2020
"COLCHESTER",2.8000000000000000e+01,2.0160000000000000e+03,2021
"COLEBROOK",2.9000000000000000e+01,2.0150000000000000e+03,2020
"COLUMBIA",3.0000000000000000e+01,2.0160000000000000e+03,2021
"CORNWALL",3.1000000000000000e+01,2.0160000000000000e+03,2021
"COVENTRY",3.2000000000000000e+01,2.0140000000000000e+03,2019
"CROMWELL",3.3000000000000000e+01,2.0120000000000000e+03,2017
"DANBURY",3.4000000000000000e+01,2.0120000000000000e+03,2017
"DARIEN",3.5000000000000000e+01,2.0130000000000000e+03,2018
"DEEP RIVER",3.6000000000000000e+01,2.0150000000000000e+03,2020
"DERBY",3.7000000000000000e+01,2.0150000000000000e+03,2020
"DURHAM",3.8000000000000000e+01,2.0150000000000000e+03,2020
"EAST GRANBY",3.9000000000000000e+01,2.0130000000000000e+03,2018
"EAST HADDAM",4.0000000000000000e+01,2.0120000000000000e+03,2017
"EAST HAMPTON",4.1000000000000000e+01,2.0150000000000000e+03,2020
"EAST HARTFORD",4.2000000000000000e+01,2.0160000000000000e+03,2021
"EAST HAVEN",4.3000000000000000e+01,2.0160000000000000e+03,2021
"EAST LYME",4.4000000000000000e+01,2.0160000000000000e+03,2021
"EAST WINDSOR",4.5000000000000000e+01,2.0120000000000000e+03,2017
"EASTFORD",4.6000000000000000e+01,2.0130000000000000e+03,2018
"EASTON",4.7000000000000000e+01,2.0160000000000000e+03,2021
"ELLINGTON",4.8000000000000000e+01,2.0150000000000000e+03,2020
"ENFIELD",4.9000000000000000e+01,2.0160000000000000e+03,2021
"ESSEX",5.0000000000000000e+01,2.0130000000000000e+03,2018
"FAIRFIELD",5.1000000000000000e+01,2.0150000000000000e+03,2020
"FARMINGTON",5.2000000000000000e+01,2.0120000000000000e+03,2017
"FRANKLIN",5.3000000000000000e+01,2.0130000000000000e+03,2018
