MUNICIPALITY,Numbered,2016 Labor Force,2016 Unemployed,2016 Unemp Rate
"ANDOVER",1.0000000000000000e+00,1.9260000000000000e+03,7.9000000000000000e+01,4.1017653167185877e-02
"ANSONIA",2.0000000000000000e+00,9.3660000000000000e+03,6.5100000000000000e+02,6.9506726457399109e-02
"ASHFORD",3.0000000000000000e+00,2.5410000000000000e+03,1.1100000000000000e+02,4.3683589138134596e-02
"AVON",4.0000000000000000e+00,9.3250000000000000e+03,3.1500000000000000e+02,3.3780160857908845e-02
"BARKHAMSTED",5.0000000000000000e+00,2.2950000000000000e+03,1.0100000000000000e+02,4.4008714596949890e-02
"BEACON FALLS",6.0000000000000000e+00,3.4320000000000000e+03,1.5800000000000000e+02,4.6037296037296040e-02
"BERLIN",7.0000000000000000e+00,1.1664000000000000e+04,4.8200000000000000e+02,4.1323731138545955e-02
"BETHANY",8.0000000000000000e+00,3.0930000000000000e+03,1.2000000000000000e+02,3.8797284190106696e-02
"BETHEL",9.0000000000000000e+00,1.0819000000000000e+04,4.6200000000000000e+02,4.2702652740549032e-02
"BETHLEHEM",1.0000000000000000e+01,1.9610000000000000e+03,8.7000000000000000e+01,4.4365119836817950e-02
"BLOOMFIELD",1.1000000000000000e+01,1.1399000000000000e+04,6.3200000000000000e+02,5.5443459952627422e-02
"BOLTON",1.2000000000000000e+01,3.1520000000000000e+03,1.1200000000000000e+02,3.5532994923857870e-02
"BOZRAH",1.3000000000000000e+01,1.4430000000000000e+03,6.7000000000000000e+01,4.6431046431046431e-02
"BRANFORD",1.4000000000000000e+01,1.5977000000000000e+04,7.1600000000000000e+02,4.4814420729799083e-02
"BRIDGEPORT",1.5000000000000000e+01,7.0964000000000000e+04,5.4590000000000000e+03,7.6926328842793532e-02
"BRIDGEWATER",1.6000000000000000e+01,8.4900000000000000e+02,2.9000000000000000e+01,3.4157832744405182e-02
"BRISTOL",1.7000000000000000e+01,3.2823000000000000e+04,1.8790000000000000e+03,5.7246443042988149e-02
"BROOKFIELD",1.8000000000000000e+01,9.4020000000000000e+03,3.8600000000000000e+02,4.1055094660710487e-02
"BROOKLYN",1.9000000000000000e+01,4.1170000000000000e+03,2.0800000000000000e+02,5.0522224921059025e-02
"BURLINGTON",2.0000000000000000e+01,5.5910000000000000e+03,2.2700000000000000e+02,4.0600965837953855e-02
"CANAAN",2.1000000000000000e+01,7.1000000000000000e+02,2.1000000000000000e+01,2.9577464788732393e-02
"CANTERBURY",2.2000000000000000e+01,2.8770000000000000e+03,1.4400000000000000e+02,5.0052137643378521e-02
"CANTON",2.3000000000000000e+01,5.6520000000000000e+03,2.0400000000000000e+02,3.6093418259023353e-02
"CHAPLIN",2.4000000000000000e+01,1.2510000000000000e+03,6.8000000000000000e+01,5.4356514788169462e-02
"CHESHIRE",2.5000000000000000e+01,1.5530000000000000e+04,5.3700000000000000e+02,3.4578235672891179e-02
"CHESTER",2.6000000000000000e+01,2.3420000000000000e+03,8.5000000000000000e+01,3.6293766011955594e-02
"CLINTON",2.7000000000000000e+01,7.2560000000000000e+03,2.9700000000000000e+02,4.0931642778390301e-02
"COLCHESTER",2.8000000000000000e+01,9.3530000000000000e+03,3.8000000000000000e+02,4.0628675291350370e-02
"COLEBROOK",2.9000000000000000e+01,8.3600000000000000e+02,3.8000000000000000e+01,4.5454545454545456e-02
"COLUMBIA",3.0000000000000000e+01,3.2100000000000000e+03,1.3200000000000000e+02,4.1121495327102804e-02
"CORNWALL",3.1000000000000000e+01,7.6700000000000000e+02,2.2000000000000000e+01,2.8683181225554105e-02
"COVENTRY",3.2000000000000000e+01,7.7340000000000000e+03,3.1100000000000000e+02,4.0212050685285751e-02
"CROMWELL",3.3000000000000000e+01,7.8970000000000000e+03,3.3800000000000000e+02,4.2801063695074082e-02
"DANBURY",3.4000000000000000e+01,4.7444000000000000e+04,1.9740000000000000e+03,4.1606947137678103e-02
"DARIEN",3.5000000000000000e+01,8.6630000000000000e+03,3.5300000000000000e+02,4.0748008772942400e-02
"DEEP RIVER",3.6000000000000000e+01,2.8630000000000000e+03,1.0800000000000000e+02,3.7722668529514496e-02
"DERBY",3.7000000000000000e+01,6.8330000000000000e+03,4.3400000000000000e+02,6.3515293428947753e-02
"DURHAM",3.8000000000000000e+01,4.2850000000000000e+03,1.4800000000000000e+02,3.4539089848308051e-02
"EAST GRANBY",3.9000000000000000e+01,3.0600000000000000e+03,1.1900000000000000e+02,3.8888888888888890e-02
"EAST HADDAM",4.0000000000000000e+01,4.9900000000000000e+03,2.2800000000000000e+02,4.5691382765531065e-02
"EAST HAMPTON",4.1000000000000000e+01,7.6220000000000000e+03,3.1900000000000000e+02,4.1852532143794280e-02
"EAST HARTFORD",4.2000000000000000e+01,2.7282000000000000e+04,1.7950000000000000e+03,6.5794296605820687e-02
"EAST HAVEN",4.3000000000000000e+01,1.5749000000000000e+04,8.9200000000000000e+02,5.6638516731221028e-02
