Municipality,numbered,Median Home Values - 2017 Estimate,Population_Range,Margin of Error
"NEW CANAAN",9.1000000000000000e+01,1439600.0000,"10,000 to 30,000",105075.0000
"DARIEN",3.5000000000000000e+01,1398600.0000,"10,000 to 30,000",88462.0000
"GREENWICH",5.7000000000000000e+01,1217500.0000,"30,000 to 70,000",42295.0000
"WESTPORT",1.5900000000000000e+02,1152100.0000,"10,000 to 30,000",55214.0000
"WESTON",1.5800000000000000e+02,878600.0000,"0 to 10,000",33187.0000
"WILTON",1.6200000000000000e+02,815500.0000,"10,000 to 30,000",25094.0000
"RIDGEFIELD",1.1900000000000000e+02,671700.0000,"10,000 to 30,000",19740.0000
"EASTON",4.7000000000000000e+01,629200.0000,"0 to 10,000",23440.0000
"FAIRFIELD",5.1000000000000000e+01,597900.0000,"30,000 to 70,000",13186.0000
"REDDING",1.1800000000000000e+02,597500.0000,"0 to 10,000",20732.0000
"ROXBURY",1.2100000000000000e+02,595900.0000,"0 to 10,000",57425.0000
"STAMFORD",1.3600000000000000e+02,516000.0000,"70,000 & Up",13764.0000
"LYME",7.6000000000000000e+01,513900.0000,"0 to 10,000",71985.0000
"BRIDGEWATER",1.6000000000000000e+01,495000.0000,"0 to 10,000",36478.0000
"WOODBRIDGE",1.6800000000000000e+02,478600.0000,"0 to 10,000",17455.0000
"WASHINGTON",1.5100000000000000e+02,465900.0000,"0 to 10,000",43828.0000
"SHERMAN",1.2800000000000000e+02,455800.0000,"0 to 10,000",29075.0000
"CORNWALL",3.1000000000000000e+01,439600.0000,"0 to 10,000",47166.0000
"MADISON",7.7000000000000000e+01,432900.0000,"10,000 to 30,000",15950.0000
"NORWALK",1.0400000000000000e+02,421900.0000,"70,000 & Up",9811.0000
"SALISBURY",1.2300000000000000e+02,418400.0000,"0 to 10,000",76829.0000
"SHARON",1.2600000000000000e+02,408500.0000,"0 to 10,000",52746.0000
"NEWTOWN",9.8000000000000000e+01,403400.0000,"10,000 to 30,000",12640.0000
"OLD LYME",1.0600000000000000e+02,398900.0000,"0 to 10,000",16630.0000
"TRUMBULL",1.4500000000000000e+02,394600.0000,"30,000 to 70,000",6526.0000
"GUILFORD",6.1000000000000000e+01,389900.0000,"10,000 to 30,000",12283.0000
"ORANGE",1.0800000000000000e+02,385100.0000,"10,000 to 30,000",8698.0000
"WESTBROOK",1.5700000000000000e+02,378900.0000,"0 to 10,000",34961.0000
"AVON",4.0000000000000000e+00,378000.0000,"10,000 to 30,000",10696.0000
"OLD SAYBROOK",1.0700000000000000e+02,373200.0000,"0 to 10,000",19202.0000
"BROOKFIELD",1.8000000000000000e+01,370000.0000,"10,000 to 30,000",13842.0000
"KILLINGWORTH",7.1000000000000000e+01,369200.0000,"0 to 10,000",18447.0000
"WARREN",1.5000000000000000e+02,368500.0000,"0 to 10,000",20918.0000
"KENT",6.9000000000000000e+01,363700.0000,"0 to 10,000",34141.0000
"MONROE",8.6000000000000000e+01,363400.0000,"10,000 to 30,000",13066.0000
"ESSEX",5.0000000000000000e+01,360600.0000,"0 to 10,000",19330.0000
"BETHANY",8.0000000000000000e+00,359100.0000,"0 to 10,000",20141.0000
"CHESTER",2.6000000000000000e+01,358400.0000,"0 to 10,000",28084.0000
"NEW FAIRFIELD",9.2000000000000000e+01,356600.0000,"10,000 to 30,000",12142.0000
"MIDDLEBURY",8.2000000000000000e+01,355400.0000,"0 to 10,000",16096.0000
"OXFORD",1.0900000000000000e+02,354500.0000,"0 to 10,000",10912.0000
"BETHLEHEM",1.0000000000000000e+01,353300.0000,"0 to 10,000",22329.0000
"WOODBURY",1.6900000000000000e+02,350800.0000,"0 to 10,000",18912.0000
"GOSHEN",5.5000000000000000e+01,350800.0000,"0 to 10,000",18321.0000
"GLASTONBURY",5.4000000000000000e+01,344100.0000,"10,000 to 30,000",8523.0000
"SHELTON",1.2700000000000000e+02,341500.0000,"30,000 to 70,000",4854.0000
"MORRIS",8.8000000000000000e+01,339000.0000,"0 to 10,000",16779.0000
"DURHAM",3.8000000000000000e+01,337800.0000,"0 to 10,000",17629.0000
"CANAAN",2.1000000000000000e+01,334100.0000,"0 to 10,000",40770.0000
"BETHEL",9.0000000000000000e+00,333900.0000,"10,000 to 30,000",8357.0000
"CHESHIRE",2.5000000000000000e+01,329000.0000,"10,000 to 30,000",8910.0000
"FARMINGTON",5.2000000000000000e+01,327900.0000,"10,000 to 30,000",10998.0000
"SIMSBURY",1.2900000000000000e+02,327800.0000,"10,000 to 30,000",6407.0000
"NORFOLK",9.9000000000000000e+01,326400.0000,"0 to 10,000",37381.0000
"WEST HARTFORD",1.5500000000000000e+02,326000.0000,"30,000 to 70,000",5660.0000
"SOUTHBURY",1.3200000000000000e+02,325000.0000,"10,000 to 30,000",12002.0000
"BURLINGTON",2.0000000000000000e+01,316200.0000,"0 to 10,000",19312.0000
"STONINGTON",1.3800000000000000e+02,315800.0000,"10,000 to 30,000",17161.0000
"MARLBOROUGH",8.0000000000000000e+01,314600.0000,"0 to 10,000",27384.0000
"SOMERS",1.3000000000000000e+02,308500.0000,"0 to 10,000",13773.0000
"PROSPECT",1.1600000000000000e+02,307400.0000,"0 to 10,000",16660.0000
"LITCHFIELD",7.5000000000000000e+01,306200.0000,"0 to 10,000",18485.0000
"NEW HARTFORD",9.3000000000000000e+01,305400.0000,"0 to 10,000",22083.0000
"HADDAM",6.2000000000000000e+01,305400.0000,"0 to 10,000",22900.0000
"MILFORD",8.5000000000000000e+01,303200.0000,"30,000 to 70,000",8493.0000
"HEBRON",6.8000000000000000e+01,302900.0000,"0 to 10,000",13284.0000
"CANTON",2.3000000000000000e+01,300700.0000,"0 to 10,000",19857.0000
"EAST LYME",4.4000000000000000e+01,300200.0000,"10,000 to 30,000",8829.0000
"NORTH HAVEN",1.0200000000000000e+02,299000.0000,"10,000 to 30,000",8993.0000
"BRANFORD",1.4000000000000000e+01,298200.0000,"10,000 to 30,000",11322.0000
"MIDDLEFIELD",8.3000000000000000e+01,297500.0000,"0 to 10,000",20416.0000
"GRANBY",5.6000000000000000e+01,296800.0000,"0 to 10,000",13401.0000
"SUFFIELD",1.4000000000000000e+02,293300.0000,"10,000 to 30,000",11586.0000
"UNION",1.4600000000000000e+02,292100.0000,"0 to 10,000",21940.0000
"DANBURY",3.4000000000000000e+01,289700.0000,"30,000 to 70,000",5668.0000
"NEW MILFORD",9.6000000000000000e+01,289100.0000,"10,000 to 30,000",7704.0000
"BOLTON",1.2000000000000000e+01,288200.0000,"0 to 10,000",12574.0000
"CLINTON",2.7000000000000000e+01,288000.0000,"10,000 to 30,000",8437.0000
"EAST GRANBY",3.9000000000000000e+01,288000.0000,"0 to 10,000",12490.0000
"HARWINTON",6.7000000000000000e+01,287900.0000,"0 to 10,000",13840.0000
"TOLLAND",1.4300000000000000e+02,286600.0000,"10,000 to 30,000",16201.0000
"NORTH BRANFORD",1.0000000000000000e+02,281800.0000,"10,000 to 30,000",10883.0000
"SOUTH WINDSOR",1.3100000000000000e+02,281100.0000,"10,000 to 30,000",6826.0000
"BERLIN",7.0000000000000000e+00,281100.0000,"10,000 to 30,000",6704.0000
"NORTH STONINGTON",1.0300000000000000e+02,278100.0000,"0 to 10,000",15261.0000
"ANDOVER",1.0000000000000000e+00,277100.0000,"0 to 10,000",13773.0000
"DEEP RIVER",3.6000000000000000e+01,274800.0000,"0 to 10,000",10145.0000
"SOUTHINGTON",1.3300000000000000e+02,271900.0000,"30,000 to 70,000",6504.0000
"SALEM",1.2200000000000000e+02,270400.0000,"0 to 10,000",12019.0000
"EAST HADDAM",4.0000000000000000e+01,268800.0000,"0 to 10,000",13168.0000
"POMFRET",1.1300000000000000e+02,268300.0000,"0 to 10,000",19787.0000
"WALLINGFORD",1.4900000000000000e+02,266100.0000,"30,000 to 70,000",6018.0000
"HARTLAND",6.6000000000000000e+01,264200.0000,"0 to 10,000",9654.0000
"ROCKY HILL",1.2000000000000000e+02,264100.0000,"10,000 to 30,000",9070.0000
"COLEBROOK",2.9000000000000000e+01,262100.0000,"0 to 10,000",18509.0000
"EAST HAMPTON",4.1000000000000000e+01,261400.0000,"10,000 to 30,000",10818.0000
"BARKHAMSTED",5.0000000000000000e+00,258500.0000,"0 to 10,000",17070.0000
"LEBANON",7.2000000000000000e+01,254900.0000,"0 to 10,000",15567.0000
"COLCHESTER",2.8000000000000000e+01,254000.0000,"10,000 to 30,000",9779.0000
"WATERFORD",1.5300000000000000e+02,253400.0000,"10,000 to 30,000",8450.0000
"EASTFORD",4.6000000000000000e+01,253100.0000,"0 to 10,000",12668.0000
"WOLCOTT",1.6700000000000000e+02,251900.0000,"10,000 to 30,000",11135.0000
"WETHERSFIELD",1.6000000000000000e+02,250700.0000,"10,000 to 30,000",6812.0000
"STRATFORD",1.3900000000000000e+02,250700.0000,"30,000 to 70,000",5267.0000
"ELLINGTON",4.8000000000000000e+01,249700.0000,"10,000 to 30,000",17268.0000
"WOODSTOCK",1.7000000000000000e+02,247500.0000,"0 to 10,000",14279.0000
"CROMWELL",3.3000000000000000e+01,245000.0000,"10,000 to 30,000",10426.0000
"PORTLAND",1.1400000000000000e+02,244800.0000,"0 to 10,000",10196.0000
"COVENTRY",3.2000000000000000e+01,243500.0000,"10,000 to 30,000",16774.0000
"SEYMOUR",1.2500000000000000e+02,243400.0000,"10,000 to 30,000",11546.0000
"COLUMBIA",3.0000000000000000e+01,243300.0000,"0 to 10,000",10353.0000
"WATERTOWN",1.5400000000000000e+02,243000.0000,"10,000 to 30,000",9116.0000
"PRESTON",1.1500000000000000e+02,242800.0000,"0 to 10,000",18425.0000
"SCOTLAND",1.2400000000000000e+02,242400.0000,"0 to 10,000",19247.0000
"ASHFORD",3.0000000000000000e+00,240000.0000,"0 to 10,000",18843.0000
"FRANKLIN",5.3000000000000000e+01,238000.0000,"0 to 10,000",13006.0000
"GROTON",5.9000000000000000e+01,237500.0000,"30,000 to 70,000",9270.0000
"LEDYARD",7.3000000000000000e+01,236500.0000,"10,000 to 30,000",7974.0000
"BEACON FALLS",6.0000000000000000e+00,235100.0000,"0 to 10,000",22089.0000
"MANSFIELD",7.9000000000000000e+01,233100.0000,"10,000 to 30,000",10052.0000
"NEWINGTON",9.7000000000000000e+01,229900.0000,"10,000 to 30,000",4835.0000
"MIDDLETOWN",8.4000000000000000e+01,228500.0000,"30,000 to 70,000",6823.0000
"VOLUNTOWN",1.4800000000000000e+02,227400.0000,"0 to 10,000",16798.0000
"LISBON",7.4000000000000000e+01,227100.0000,"0 to 10,000",15356.0000
"HAMPTON",6.4000000000000000e+01,226500.0000,"0 to 10,000",10724.0000
"BOZRAH",1.3000000000000000e+01,225900.0000,"0 to 10,000",15868.0000
"HAMDEN",6.3000000000000000e+01,225700.0000,"30,000 to 70,000",4311.0000
"BROOKLYN",1.9000000000000000e+01,223400.0000,"0 to 10,000",12873.0000
"CANTERBURY",2.2000000000000000e+01,220000.0000,"0 to 10,000",14917.0000
"WILLINGTON",1.6100000000000000e+02,219600.0000,"0 to 10,000",18014.0000
"SPRAGUE",1.3400000000000000e+02,217100.0000,"0 to 10,000",20503.0000
"WINDSOR",1.6500000000000000e+02,216500.0000,"10,000 to 30,000",5129.0000
"BLOOMFIELD",1.1000000000000000e+01,211300.0000,"10,000 to 30,000",8379.0000
"ANSONIA",2.0000000000000000e+00,208700.0000,"10,000 to 30,000",10772.0000
"VERNON",1.4700000000000000e+02,207600.0000,"10,000 to 30,000",7245.0000
"STERLING",1.3700000000000000e+02,207000.0000,"0 to 10,000",19354.0000
"EAST HAVEN",4.3000000000000000e+01,206900.0000,"10,000 to 30,000",6738.0000
"PLAINVILLE",1.1100000000000000e+02,205400.0000,"10,000 to 30,000",11259.0000
"EAST WINDSOR",4.5000000000000000e+01,204300.0000,"0 to 10,000",14279.0000
"THOMPSON",1.4200000000000000e+02,204000.0000,"0 to 10,000",19381.0000
"THOMASTON",1.4100000000000000e+02,199400.0000,"0 to 10,000",14030.0000
"CHAPLIN",2.4000000000000000e+01,195300.0000,"0 to 10,000",12910.0000
"NORTH CANAAN",1.0100000000000000e+02,194800.0000,"0 to 10,000",17863.0000
"DERBY",3.7000000000000000e+01,194600.0000,"10,000 to 30,000",17688.0000
"PLYMOUTH",1.1200000000000000e+02,193400.0000,"10,000 to 30,000",6549.0000
