TFA18%,TFA17%,MUNICIPALITY,numbered,2018 TFA Recipients,2017 TFA Recipients,Sort ID
3.4059967585089140e-02,3.9153160453808754e-02,"HARTFORD",6.5000000000000000e+01,4.2030000000000000e+03,4.8315000000000000e+03,1
3.2829046898638428e-02,3.3888048411497729e-02,"NEW BRITAIN",9.0000000000000000e+01,2.3870000000000000e+03,2.4640000000000000e+03,2
2.5810218755247531e-02,3.0244859328010746e-02,"NEW HAVEN",9.4000000000000000e+01,3.3815000000000000e+03,3.9625000000000000e+03,3
2.4961106150291359e-02,2.8376400408730632e-02,"WATERBURY",1.5200000000000000e+02,2.7115000000000000e+03,3.0825000000000000e+03,4
1.9423965000405087e-02,1.6892165599935186e-02,"WINDHAM",1.6400000000000000e+02,4.7950000000000000e+02,4.1700000000000000e+02,5
1.9318853427895979e-02,1.9835992907801418e-02,"NEW LONDON",9.5000000000000000e+01,5.2300000000000000e+02,5.3700000000000000e+02,6
1.5468820398151084e-02,1.7012365044137032e-02,"MERIDEN",8.1000000000000000e+01,9.2700000000000000e+02,1.0195000000000000e+03,7
1.4720040537116797e-02,1.6987585507980744e-02,"NORWICH",1.0500000000000000e+02,5.8100000000000000e+02,6.7050000000000000e+02,8
1.4019743619481644e-02,1.4603046821168107e-02,"BRIDGEPORT",1.5000000000000000e+01,2.0550000000000000e+03,2.1405000000000000e+03,9
1.3712514159661361e-02,1.5511039567558975e-02,"EAST HARTFORD",4.2000000000000000e+01,6.9000000000000000e+02,7.8050000000000000e+02,10
1.2835627584145592e-02,1.2628065689188516e-02,"BRISTOL",1.7000000000000000e+01,7.7300000000000000e+02,7.6050000000000000e+02,11
1.1125112200510944e-02,1.1591175861354691e-02,"MANCHESTER",7.8000000000000000e+01,6.4450000000000000e+02,6.7150000000000000e+02,12
9.7787752484770757e-03,1.1595596879341669e-02,"PUTNAM",1.1700000000000000e+02,9.1500000000000000e+01,1.0850000000000000e+02,13
9.5363127472968285e-03,1.0739748007949966e-02,"WEST HAVEN",1.5600000000000000e+02,5.2300000000000000e+02,5.8900000000000000e+02,14
9.1136734218495233e-03,1.0627766130910784e-02,"KILLINGLY",7.0000000000000000e+01,1.5650000000000000e+02,1.8250000000000000e+02,15
8.4476247266944936e-03,8.3813688464851252e-03,"PLAINFIELD",1.1000000000000000e+02,1.2750000000000000e+02,1.2650000000000000e+02,17
8.2655610482113440e-03,1.0019667251368734e-02,"ANSONIA",2.0000000000000000e+00,1.5550000000000000e+02,1.8850000000000000e+02,18
7.7213452299245023e-03,1.1839396019217571e-02,"SPRAGUE",1.3400000000000000e+02,2.2500000000000000e+01,3.4500000000000000e+01,20
7.6810534016093631e-03,8.9504711906708556e-03,"MIDDLETOWN",8.4000000000000000e+01,3.5700000000000000e+02,4.1600000000000000e+02,21
6.6881519215441663e-03,6.4455764632498184e-03,"EAST HAVEN",4.3000000000000000e+01,1.9300000000000000e+02,1.8600000000000000e+02,22
6.6113600966275707e-03,7.9622389625250319e-03,"NAUGATUCK",8.9000000000000000e+01,2.0800000000000000e+02,2.5050000000000000e+02,23
6.5841002545525750e-03,6.2251158540565241e-03,"HAMDEN",6.3000000000000000e+01,4.0350000000000000e+02,3.8150000000000000e+02,24
6.3697955874688749e-03,6.8909606809890557e-03,"TORRINGTON",1.4400000000000000e+02,2.2000000000000000e+02,2.3800000000000000e+02,25
6.2890391032771453e-03,5.8184307350047058e-03,"GRISWOLD",5.8000000000000000e+01,7.3500000000000000e+01,6.8000000000000000e+01,26
6.2132112491824721e-03,6.4935064935064939e-03,"BLOOMFIELD",1.1000000000000000e+01,1.3300000000000000e+02,1.3900000000000000e+02,27
6.2115025261263758e-03,6.8343830022838947e-03,"WINDSOR",1.6500000000000000e+02,1.7950000000000000e+02,1.9750000000000000e+02,28
6.0012795905310303e-03,5.4638515674984003e-03,"GROTON",5.9000000000000000e+01,2.3450000000000000e+02,2.1350000000000000e+02,29
5.9652928416485899e-03,6.5075921908893707e-03,"HAMPTON",6.4000000000000000e+01,1.1000000000000000e+01,1.2000000000000000e+01,30
5.7870370370370367e-03,6.5180311890838203e-03,"BROOKLYN",1.9000000000000000e+01,4.7500000000000000e+01,5.3500000000000000e+01,31
5.4726926096220702e-03,5.6521251541998430e-03,"ENFIELD",4.9000000000000000e+01,2.4400000000000000e+02,2.5200000000000000e+02,32
5.3336746885133983e-03,6.0163850486431129e-03,"PLYMOUTH",1.1200000000000000e+02,6.2500000000000000e+01,7.0500000000000000e+01,34
5.0749604246205417e-03,6.4717385231399570e-03,"WINCHESTER",1.6300000000000000e+02,5.4500000000000000e+01,6.9500000000000000e+01,35
5.0029046658105550e-03,5.3927413930165719e-03,"STAMFORD",1.3600000000000000e+02,6.5450000000000000e+02,7.0550000000000000e+02,36
4.5195261079420800e-03,4.0807371654234311e-03,"EAST WINDSOR",4.5000000000000000e+01,5.1500000000000000e+01,4.6500000000000000e+01,38
