Municipality,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2016 Population,Moody's_Bond_Ratings_Latest,Date of Latest Moody's Ratings,Moody's_Bond_Ratings_July_2016,ACGLFY16,EGL,TANF16 Recipients,empl,ACMR,enrollmt,TFA16 Recipients
"ANDOVER",1,1,"T",5920541.0000,3349144.0000,9541924.0000,583904.0000,0.0000,0.0000,30245.0000,906080.0000,2985783.0000,2049458.0000,2985783.0000,"N",2961909.0000,8158369.0000,11215238.0000,8780455.0000,150549.0000,10775123.0000,0.0000,0.0000,187284.0000,187284.0000,252831.0000,309843.0000,252831.0000,0.0000,2403059.6841,605944.0000,3009004.0000,556399.0000,8122124.0000,8002240.0000,9.8499999999999999e-01,8239220.0000,8072721.0000,9.7999999999999998e-01,3.2520000000000000e+03,,"2017-07-18 00:00:00",,263133905.0000,360162930.1000,5.0000000000000000e+00,4.4352759154203197e-02,3.0719999999999999e+01,5.0225999999999999e+02,5.0000000000000000e+00
"ANSONIA",2,2,"NH",51319174.0000,-5904785.0000,45425420.0000,-1294559.0000,0.0000,0.0000,3804440.0000,0.0000,13528668.0000,9724228.0000,13528668.0000,"N",29372130.0000,32497383.0000,65625346.0000,38507977.0000,8199236.0000,67815794.0000,0.0000,0.0000,169586.0000,169586.0000,-2360034.0000,4137137.0000,-2360034.0000,0.0000,,6549611.0000,6549611.0000,6814159.0000,33615325.0000,32491245.0000,9.6656048989560561e-01,35658243.0000,33028463.0000,9.2625043247363592e-01,1.8732000000000000e+04,"Aa3","2017-07-18 00:00:00","Aa3",894098985.0000,1312183325.4400,2.3000000000000000e+02,6.8167202572347263e-02,3.7520000000000003e+01,2.5244600000000000e+03,2.6350000000000000e+02
"ASHFORD",3,3,"W",12877087.0000,3102020.0000,17631181.0000,-406267.0000,0.0000,0.0000,15062.0000,108809.0000,1832182.0000,1708311.0000,1832182.0000,"N",4985298.0000,9949890.0000,15379831.0000,11825590.0000,445290.0000,14910281.0000,0.0000,0.0000,363908.0000,363908.0000,105642.0000,-309444.0000,105642.0000,0.0000,786804.0300,2364804.0000,3151608.0300,0.0000,9881076.0000,9701012.0000,9.8177688340824421e-01,10571778.0000,9871073.0000,9.3371928544091642e-01,4.2360000000000000e+03,"Aa3","2017-07-18 00:00:00","Aa3",297466704.0000,420881940.7200,1.2000000000000000e+01,4.8122065727699531e-02,3.2962000000000003e+01,5.6282000000000005e+02,1.2000000000000000e+01
"AVON",4,4,"H",119384191.0000,-8996683.0000,110332199.0000,512233.0000,11398.0000,0.0000,0.0000,2326985.0000,10782099.0000,8443716.0000,10770701.0000,"Y",9949386.0000,74777579.0000,87685177.0000,59484885.0000,3699813.0000,85083100.0000,340000.0000,639906.0000,3487203.0000,3487203.0000,-545126.0000,-1776049.0000,-245220.0000,0.0000,,24788279.0000,24788279.0000,27398925.0000,74537630.0000,74332894.0000,9.9725325315548674e-01,74868589.0000,74524177.0000,9.9539977973940441e-01,1.8364000000000000e+04,"Aaa","2017-07-18 00:00:00","Aaa",2577798250.0000,3738989795.6100,6.0000000000000000e+00,3.5207510935666278e-02,2.8800000000000001e+01,3.2924499999999998e+03,1.1000000000000000e+01
"BARKHAMSTED",5,5,"L",4082837.0000,3895972.0000,7978809.0000,363670.0000,0.0000,0.0000,0.0000,200000.0000,1475691.0000,1275691.0000,1475691.0000,"N",2190046.0000,9496126.0000,11858453.0000,9502969.0000,673337.0000,11764683.0000,0.0000,0.0000,267420.0000,267420.0000,-173650.0000,-22071.0000,-173650.0000,0.0000,752978.2664,2960000.0000,3712978.2664,0.0000,9543351.0000,9288403.0000,9.7328527474259308e-01,10266970.0000,9425581.0000,9.1804894725512975e-01,3.6640000000000000e+03,,"2017-07-18 00:00:00",,341699965.0000,494116946.0754,4.0000000000000000e+00,4.5099739809193407e-02,2.7719999999999999e+01,5.6473000000000002e+02,3.5000000000000000e+00
"BEACON FALLS",6,6,"NH",9973490.0000,4479979.0000,14935217.0000,505311.0000,30085.0000,0.0000,0.0000,166290.0000,2906969.0000,2710594.0000,2876884.0000,"N",4586087.0000,16038809.0000,21493710.0000,14820178.0000,580323.0000,20737904.0000,0.0000,26784.0000,272746.0000,272746.0000,483060.0000,-739617.0000,509844.0000,0.0000,13243600.6840,8283827.0000,21527427.6840,751849.0000,15980394.0000,15566826.0000,9.7412028764747605e-01,17014564.0000,15902139.0000,9.3461924736948887e-01,6.0950000000000000e+03,,"2017-07-18 00:00:00",,479221588.0000,652767964.9157,1.5000000000000000e+01,5.0359712230215826e-02,3.3399999999999999e+01,8.9982000000000005e+02,1.7000000000000000e+01
"BERLIN",7,7,"H",78636418.0000,19604198.0000,106539647.0000,8480673.0000,0.0000,0.0000,398567.0000,2300000.0000,13855598.0000,11157031.0000,13855598.0000,"N",13312658.0000,66691876.0000,84424801.0000,49476881.0000,6203033.0000,83012026.0000,69610.0000,13311853.0000,926296.0000,13011805.0000,556089.0000,-560599.0000,1712823.0000,0.0000,,83924544.0000,83924544.0000,5688943.0000,66490030.0000,65747950.0000,9.8883922897914167e-01,67755067.0000,66235008.0000,9.7756538267462711e-01,2.0499000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",2177154828.0000,3116476402.2876,4.8000000000000000e+01,4.2313598362054256e-02,3.0350000000000001e+01,2.9384299999999998e+03,4.9000000000000000e+01
"BETHANY",8,8,"NH",21850686.0000,2732531.0000,24583217.0000,1182616.0000,51667.0000,3300.0000,0.0000,0.0000,3248516.0000,3193549.0000,3193549.0000,"N",3424720.0000,19523218.0000,24113267.0000,16698230.0000,1047607.0000,23233534.0000,0.0000,0.0000,467000.0000,467000.0000,412733.0000,-730745.0000,412733.0000,0.0000,6947301.0877,3856326.0000,10803627.0877,457550.0000,19406173.0000,19171150.0000,9.8788926595676541e-01,19845347.0000,19454209.0000,9.8029069484146591e-01,5.4880000000000000e+03,"Aa2","2017-07-18 00:00:00","Aa2",551306171.0000,830045628.5048,3.0000000000000000e+00,4.0168448331713638e-02,3.5039999999999999e+01,8.4069000000000005e+02,2.5000000000000000e+00
"BETHEL",9,9,"F",72509424.0000,10068029.0000,83056020.0000,3615330.0000,633029.0000,0.0000,380807.0000,0.0000,17563447.0000,16549611.0000,16930418.0000,"N",13962715.0000,61102747.0000,76575748.0000,48105825.0000,2968586.0000,72916208.0000,0.0000,0.0000,1680000.0000,1680000.0000,1979540.0000,1772160.0000,1979540.0000,0.0000,,29018981.0000,29018981.0000,10611774.0000,60745636.0000,60045483.0000,9.8847401976332916e-01,61704400.0000,60607978.0000,9.8223105645626563e-01,1.9627000000000000e+04,,"2017-07-18 00:00:00","Aa2",1890122000.0000,2824194297.6926,2.2000000000000000e+01,4.2908554027867488e-02,3.2180000000000000e+01,2.9303099999999999e+03,2.7500000000000000e+01
"BETHLEHEM",10,10,"L",6050577.0000,3936489.0000,10095237.0000,296110.0000,0.0000,0.0000,300000.0000,0.0000,1765896.0000,1465896.0000,1765896.0000,"N",1609445.0000,8555685.0000,10398136.0000,7187029.0000,0.0000,9601166.0000,405000.0000,405000.0000,1063132.0000,1063132.0000,138838.0000,-153878.0000,138838.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8428522.0000,8270751.0000,9.8128129700557232e-01,9024533.0000,8489957.0000,9.4076413704731310e-01,3.4470000000000000e+03,,"2017-07-18 00:00:00",,367532967.0000,518047232.9862,1.0000000000000000e+00,5.2014278429372771e-02,2.2960000000000001e+01,3.5269999999999999e+02,1.0000000000000000e+00
